행정주소,총인구,세대수,세대당인구,남자인구,여자인구,남여비율
서울특별시,"9,418,885","4,467,999",2.11,"4,560,702","4,858,183",0.94
서울특별시 종로구,"140,601","72,584",1.94,"67,923","72,678",0.93
서울특별시 종로구 청운효자동,"11,517","5,109",2.25,"5,282","6,235",0.85
서울특별시 종로구 사직동,"9,104","4,580",1.99,"4,040","5,064",0.8
서울특별시 종로구 삼청동,"2,291","1,137",2.01,"1,094","1,197",0.91
서울특별시 종로구 부암동,"9,133","4,127",2.21,"4,319","4,814",0.9
서울특별시 종로구 평창동,"17,464","7,215",2.42,"8,143","9,321",0.87
서울특별시 종로구 무악동,"8,000","3,013",2.66,"3,681","4,319",0.85
서울특별시 종로구 교남동,"9,759","4,385",2.23,"4,488","5,271",0.85
서울특별시 종로구 가회동,"3,926","1,937",2.03,"1,824","2,102",0.87
서울특별시 종로구 종로1.2.3.4가동,"6,722","4,951",1.36,"4,091","2,631",1.55
서울특별시 종로구 종로5.6가동,"5,426","3,620",1.5,"2,867","2,559",1.12
서울특별시 종로구 이화동,"7,031","4,288",1.64,"3,340","3,691",0.9
서울특별시 종로구 혜화동,"16,080","9,222",1.74,"7,699","8,381",0.92
서울특별시 종로구 창신제1동,"4,611","2,692",1.71,"2,439","2,172",1.12
서울특별시 종로구 창신제2동,"7,598","3,996",1.9,"3,911","3,687",1.06
서울특별시 종로구 창신제3동,"6,417","2,772",2.31,"3,145","3,272",0.96
서울특별시 종로구 숭인제1동,"5,768","2,978",1.94,"2,784","2,984",0.93
서울특별시 종로구 숭인제2동,"9,754","6,562",1.49,"4,776","4,978",0.96
서울특별시 중구,"121,346","64,260",1.89,"58,845","62,501",0.94
서울특별시 중구 소공동,"2,215","1,260",1.76,"1,051","1,164",0.9
서울특별시 중구 회현동,"4,470","2,548",1.75,"2,326","2,144",1.08
서울특별시 중구 명동,"2,698","1,440",1.87,"1,149","1,549",0.74
서울특별시 중구 필동,"3,958","2,449",1.62,"2,050","1,908",1.07
서울특별시 중구 장충동,"4,591","2,869",1.6,"2,411","2,180",1.11
서울특별시 중구 광희동,"5,675","3,848",1.47,"2,829","2,846",0.99
서울특별시 중구 을지로동,"2,515","1,816",1.38,"1,431","1,084",1.32
서울특별시 중구 신당동,"7,512","4,748",1.58,"3,705","3,807",0.97
서울특별시 중구 다산동,"13,410","6,831",1.96,"6,487","6,923",0.94
서울특별시 중구 약수동,"16,303","7,787",2.09,"7,521","8,782",0.86
서울특별시 중구 청구동,"13,110","6,186",2.12,"6,193","6,917",0.9
서울특별시 중구 신당제5동,"10,130","5,334",1.9,"4,905","5,225",0.94
서울특별시 중구 동화동,"9,984","3,977",2.51,"4,806","5,178",0.93
서울특별시 중구 황학동,"12,818","7,433",1.72,"6,079","6,739",0.9
서울특별시 중구 중림동,"11,957","5,734",2.09,"5,902","6,055",0.97
서울특별시 용산구,"217,438","109,717",1.98,"104,495","112,943",0.93
서울특별시 용산구 후암동,"16,172","8,284",1.95,"7,861","8,311",0.95
서울특별시 용산구 용산2가동,"9,006","5,092",1.77,"4,348","4,658",0.93
서울특별시 용산구 남영동,"6,989","4,973",1.41,"4,241","2,748",1.54
서울특별시 용산구 청파동,"19,070","11,149",1.71,"8,870","10,200",0.87
서울특별시 용산구 원효로제1동,"17,139","9,293",1.84,"7,975","9,164",0.87
서울특별시 용산구 원효로제2동,"13,690","6,181",2.21,"6,432","7,258",0.89
서울특별시 용산구 효창동,"10,769","4,734",2.27,"5,117","5,652",0.91
서울특별시 용산구 용문동,"11,464","5,319",2.16,"5,497","5,967",0.92
서울특별시 용산구 한강로동,"21,135","11,326",1.87,"10,024","11,111",0.9
서울특별시 용산구 이촌제1동,"25,015","9,156",2.73,"11,747","13,268",0.89
서울특별시 용산구 이촌제2동,"7,979","3,598",2.22,"3,729","4,250",0.88
서울특별시 용산구 이태원제1동,"6,108","3,477",1.76,"3,031","3,077",0.99
서울특별시 용산구 이태원제2동,"8,667","4,826",1.8,"4,050","4,617",0.88
서울특별시 용산구 한남동,"19,185","10,215",1.88,"9,268","9,917",0.93
서울특별시 용산구 서빙고동,"12,527","5,102",2.46,"6,038","6,489",0.93
서울특별시 용산구 보광동,"12,523","6,992",1.79,"6,267","6,256",1.0
서울특별시 성동구,"279,760","133,551",2.09,"135,931","143,829",0.95
서울특별시 성동구 왕십리제2동,"16,236","7,368",2.2,"7,816","8,420",0.93
서울특별시 성동구 왕십리도선동,"26,423","12,218",2.16,"12,431","13,992",0.89
서울특별시 성동구 마장동,"21,914","10,936",2.0,"10,817","11,097",0.97
서울특별시 성동구 사근동,"12,101","8,310",1.46,"6,341","5,760",1.1
서울특별시 성동구 행당제1동,"13,750","6,469",2.13,"6,602","7,148",0.92
서울특별시 성동구 행당제2동,"22,988","9,257",2.48,"10,707","12,281",0.87
서울특별시 성동구 응봉동,"14,959","5,949",2.51,"7,104","7,855",0.9
서울특별시 성동구 금호1가동,"14,947","6,538",2.29,"7,114","7,833",0.91
서울특별시 성동구 금호2.3가동,"22,073","9,892",2.23,"10,557","11,516",0.92
서울특별시 성동구 금호4가동,"14,264","6,405",2.23,"6,761","7,503",0.9
서울특별시 성동구 옥수동,"25,492","10,748",2.37,"11,824","13,668",0.87
서울특별시 성동구 성수1가제1동,"15,630","7,469",2.09,"7,781","7,849",0.99
서울특별시 성동구 성수1가제2동,"12,091","5,977",2.02,"5,912","6,179",0.96
서울특별시 성동구 성수2가제1동,"14,903","7,770",1.92,"7,734","7,169",1.08
서울특별시 성동구 성수2가제3동,"10,207","5,309",1.92,"5,105","5,102",1.0
서울특별시 성동구 송정동,"9,922","5,425",1.83,"5,244","4,678",1.12
서울특별시 성동구 용답동,"11,860","7,511",1.58,"6,081","5,779",1.05
서울특별시 광진구,"336,580","169,950",1.98,"162,020","174,560",0.93
서울특별시 광진구 화양동,"23,406","18,258",1.28,"11,106","12,300",0.9
서울특별시 광진구 군자동,"19,318","11,385",1.7,"9,553","9,765",0.98
서울특별시 광진구 중곡제1동,"15,416","8,657",1.78,"7,333","8,083",0.91
서울특별시 광진구 중곡제2동,"20,801","10,667",1.95,"9,807","10,994",0.89
서울특별시 광진구 중곡제3동,"15,906","8,584",1.85,"7,858","8,048",0.98
서울특별시 광진구 중곡제4동,"27,841","13,124",2.12,"13,588","14,253",0.95
서울특별시 광진구 능동,"11,180","6,463",1.73,"5,130","6,050",0.85
서울특별시 광진구 광장동,"34,061","11,824",2.88,"16,489","17,572",0.94
서울특별시 광진구 자양제1동,"22,134","12,093",1.83,"10,772","11,362",0.95
서울특별시 광진구 자양제2동,"23,745","10,837",2.19,"11,521","12,224",0.94
서울특별시 광진구 자양제3동,"27,434","11,004",2.49,"13,104","14,330",0.91
서울특별시 광진구 자양제4동,"17,958","10,270",1.75,"8,932","9,026",0.99
서울특별시 광진구 구의제1동,"23,365","13,139",1.78,"11,174","12,191",0.92
서울특별시 광진구 구의제2동,"25,875","11,517",2.25,"12,379","13,496",0.92
서울특별시 광진구 구의제3동,"28,140","12,128",2.32,"13,274","14,866",0.89
서울특별시 동대문구,"337,680","171,388",1.97,"165,868","171,812",0.97
서울특별시 동대문구 용신동,"35,437","20,608",1.72,"17,527","17,910",0.98
서울특별시 동대문구 제기동,"24,103","13,474",1.79,"12,340","11,763",1.05
서울특별시 동대문구 전농제1동,"28,722","14,850",1.93,"14,280","14,442",0.99
서울특별시 동대문구 전농제2동,"18,104","7,562",2.39,"8,670","9,434",0.92
서울특별시 동대문구 답십리제1동,"28,057","12,857",2.18,"13,516","14,541",0.93
서울특별시 동대문구 답십리제2동,"27,699","12,519",2.21,"13,392","14,307",0.94
서울특별시 동대문구 장안제1동,"37,814","18,410",2.05,"18,668","19,146",0.98
서울특별시 동대문구 장안제2동,"32,488","14,260",2.28,"16,115","16,373",0.98
서울특별시 동대문구 청량리동,"18,853","10,025",1.88,"9,343","9,510",0.98
서울특별시 동대문구 회기동,"10,513","6,751",1.56,"4,994","5,519",0.9
서울특별시 동대문구 휘경제1동,"13,943","7,823",1.78,"6,574","7,369",0.89
서울특별시 동대문구 휘경제2동,"24,445","12,788",1.91,"12,179","12,266",0.99
서울특별시 동대문구 이문제1동,"17,951","10,770",1.67,"8,884","9,067",0.98
서울특별시 동대문구 이문제2동,"19,551","8,691",2.25,"9,386","10,165",0.92
서울특별시 중랑구,"384,650","188,020",2.05,"189,019","195,631",0.97
서울특별시 중랑구 면목제2동,"23,770","12,237",1.94,"11,830","11,940",0.99
서울특별시 중랑구 면목제4동,"18,370","8,954",2.05,"9,142","9,228",0.99
서울특별시 중랑구 면목제5동,"14,696","6,457",2.28,"7,354","7,342",1.0
서울특별시 중랑구 면목본동,"32,958","17,770",1.85,"16,259","16,699",0.97
서울특별시 중랑구 면목제7동,"21,416","10,614",2.02,"10,692","10,724",1.0
서울특별시 중랑구 면목제3.8동,"24,650","12,850",1.92,"12,211","12,439",0.98
서울특별시 중랑구 상봉제1동,"23,367","10,116",2.31,"11,350","12,017",0.94
서울특별시 중랑구 상봉제2동,"20,247","12,387",1.63,"9,725","10,522",0.92
서울특별시 중랑구 중화제1동,"18,987","8,977",2.12,"9,332","9,655",0.97
서울특별시 중랑구 중화제2동,"24,255","13,620",1.78,"12,455","11,800",1.06
서울특별시 중랑구 묵제1동,"33,929","14,978",2.27,"16,208","17,721",0.91
