"행정구역","2023년01월_총인구수","2023년01월_세대수","2023년01월_세대당 인구","2023년01월_남자 인구수","2023년01월_여자 인구수","2023년01월_남여 비율","2023년02월_총인구수","2023년02월_세대수","2023년02월_세대당 인구","2023년02월_남자 인구수","2023년02월_여자 인구수","2023년02월_남여 비율","2023년03월_총인구수","2023년03월_세대수","2023년03월_세대당 인구","2023년03월_남자 인구수","2023년03월_여자 인구수","2023년03월_남여 비율","2023년04월_총인구수","2023년04월_세대수","2023년04월_세대당 인구","2023년04월_남자 인구수","2023년04월_여자 인구수","2023년04월_남여 비율","2023년05월_총인구수","2023년05월_세대수","2023년05월_세대당 인구","2023년05월_남자 인구수","2023년05월_여자 인구수","2023년05월_남여 비율"
"서울특별시  (1100000000)","9,424,873","4,447,861","          2.12","4,567,739","4,857,134","          0.94","9,427,583","4,457,982","          2.11","4,567,957","4,859,626","          0.94","9,426,404","4,463,385","          2.11","4,566,299","4,860,105","          0.94","9,422,710","4,465,391","          2.11","4,563,512","4,859,198","          0.94","9,418,885","4,467,999","          2.11","4,560,702","4,858,183","          0.94"
"서울특별시 종로구 (1111000000)","141,223","72,479","          1.95","68,314","72,909","          0.94","141,433","72,773","          1.94","68,399","73,034","          0.94","141,060","72,679","          1.94","68,170","72,890","          0.94","140,891","72,644","          1.94","68,079","72,812","          0.93","140,601","72,584","          1.94","67,923","72,678","          0.93"
"서울특별시 중구 (1114000000)","120,317","63,123","          1.91","58,443","61,874","          0.94","120,555","63,492","          1.90","58,557","61,998","          0.94","120,963","63,862","          1.89","58,699","62,264","          0.94","121,250","64,081","          1.89","58,806","62,444","          0.94","121,346","64,260","          1.89","58,845","62,501","          0.94"
"서울특별시 용산구 (1117000000)","218,412","109,734","          1.99","104,974","113,438","          0.93","218,175","109,778","          1.99","104,860","113,315","          0.93","217,756","109,735","          1.98","104,640","113,116","          0.93","217,611","109,712","          1.98","104,580","113,031","          0.93","217,438","109,717","          1.98","104,495","112,943","          0.93"
"서울특별시 성동구 (1120000000)","280,707","133,293","          2.11","136,442","144,265","          0.95","280,474","133,517","          2.10","136,361","144,113","          0.95","280,240","133,513","          2.10","136,233","144,007","          0.95","279,980","133,503","          2.10","136,059","143,921","          0.95","279,760","133,551","          2.09","135,931","143,829","          0.95"
"서울특별시 광진구 (1121500000)","337,258","169,416","          1.99","162,460","174,798","          0.93","337,071","169,648","          1.99","162,329","174,742","          0.93","336,801","169,787","          1.98","162,209","174,592","          0.93","336,558","169,725","          1.98","162,071","174,487","          0.93","336,580","169,950","          1.98","162,020","174,560","          0.93"
"서울특별시 동대문구 (1123000000)","336,415","169,716","          1.98","165,657","170,758","          0.97","337,293","170,766","          1.98","165,962","171,331","          0.97","337,574","171,140","          1.97","165,933","171,641","          0.97","337,692","171,288","          1.97","165,936","171,756","          0.97","337,680","171,388","          1.97","165,868","171,812","          0.97"
"서울특별시 중랑구 (1126000000)","385,097","187,489","          2.05","189,367","195,730","          0.97","385,129","187,776","          2.05","189,306","195,823","          0.97","385,003","187,898","          2.05","189,186","195,817","          0.97","384,867","187,977","          2.05","189,099","195,768","          0.97","384,650","188,020","          2.05","189,019","195,631","          0.97"
"서울특별시 성북구 (1129000000)","429,967","196,936","          2.18","206,716","223,251","          0.93","430,170","197,673","          2.18","206,753","223,417","          0.93","430,100","197,859","          2.17","206,634","223,466","          0.92","429,751","197,801","          2.17","206,367","223,384","          0.92","429,689","197,906","          2.17","206,319","223,370","          0.92"
"서울특별시 강북구 (1130500000)","293,313","144,275","          2.03","142,435","150,878","          0.94","293,119","144,506","          2.03","142,254","150,865","          0.94","292,762","144,557","          2.03","142,028","150,734","          0.94","292,383","144,559","          2.02","141,837","150,546","          0.94","291,959","144,577","          2.02","141,577","150,382","          0.94"
