"행정구역","2023년05월_전체","2023년05월_남자","2023년05월_여자","2023년05월_아동전체","2023년05월_아동남자","2023년05월_아동여자","2023년05월_청소년전체","2023년05월_청소년남자","2023년05월_청소년여자","2023년05월_청년전체","2023년05월_청년남자","2023년05월_청년여자"
"서울특별시  (1100000000)","9,418,885","4,560,702","4,858,183","1,112,921","571,465","541,456","1,382,213","683,058","699,155","2,234,439","1,085,281","1,149,158"
"서울특별시 종로구 (1111000000)","140,601","67,923","72,678","13,813","6,910","6,903","20,295","9,588","10,707","33,955","16,436","17,519"
"서울특별시 종로구 청운효자동(1111051500)","11,517","5,282","6,235","1,528","783","745","1,840","945","895","2,336","1,133","1,203"
"서울특별시 종로구 사직동(1111053000)","9,104","4,040","5,064","1,015","477","538","1,156","499","657","1,924","845","1,079"
"서울특별시 종로구 삼청동(1111054000)","2,291","1,094","1,197","220","117","103","292","163","129","440","213","227"
"서울특별시 종로구 부암동(1111055000)","9,133","4,319","4,814","1,047","546","501","1,434","752","682","1,830","939","891"
"서울특별시 종로구 평창동(1111056000)","17,464","8,143","9,321","2,213","1,127","1,086","2,650","1,313","1,337","3,308","1,649","1,659"
"서울특별시 종로구 무악동(1111057000)","8,000","3,681","4,319","1,310","562","748","1,454","638","816","1,309","613","696"
"서울특별시 종로구 교남동(1111058000)","9,759","4,488","5,271","1,402","700","702","1,356","653","703","1,896","860","1,036"
"서울특별시 종로구 가회동(1111060000)","3,926","1,824","2,102","410","219","191","508","246","262","725","333","392"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,722","4,091","2,631","317","166","151","565","257","308","1,547","830","717"
"서울특별시 종로구 종로5.6가동(1111063000)","5,426","2,867","2,559","307","139","168","659","270","389","1,790","865","925"
"서울특별시 종로구 이화동(1111064000)","7,031","3,340","3,691","437","226","211","885","407","478","2,353","1,115","1,238"
"서울특별시 종로구 혜화동(1111065000)","16,080","7,699","8,381","1,381","708","673","3,638","1,642","1,996","5,837","2,908","2,929"
"서울특별시 종로구 창신제1동(1111067000)","4,611","2,439","2,172","240","125","115","422","209","213","946","497","449"
"서울특별시 종로구 창신제2동(1111068000)","7,598","3,911","3,687","428","226","202","789","397","392","1,575","855","720"
"서울특별시 종로구 창신제3동(1111069000)","6,417","3,145","3,272","650","330","320","804","419","385","1,393","708","685"
"서울특별시 종로구 숭인제1동(1111070000)","5,768","2,784","2,984","478","244","234","678","319","359","1,185","573","612"
"서울특별시 종로구 숭인제2동(1111071000)","9,754","4,776","4,978","430","215","215","1,165","459","706","3,561","1,500","2,061"
"서울특별시 중구 (1114000000)","121,346","58,845","62,501","10,572","5,351","5,221","13,834","6,608","7,226","29,779","14,172","15,607"
"서울특별시 중구 소공동(1114052000)","2,215","1,051","1,164","264","125","139","236","83","153","506","200","306"
"서울특별시 중구 회현동(1114054000)","4,470","2,326","2,144","325","168","157","416","211","205","769","368","401"
"서울특별시 중구 명동(1114055000)","2,698","1,149","1,549","152","84","68","271","108","163","571","259","312"
"서울특별시 중구 필동(1114057000)","3,958","2,050","1,908","288","148","140","560","272","288","1,161","610","551"
"서울특별시 중구 장충동(1114058000)","4,591","2,411","2,180","308","160","148","990","521","469","1,745","979","766"
"서울특별시 중구 광희동(1114059000)","5,675","2,829","2,846","246","127","119","648","264","384","1,961","878","1,083"
"서울특별시 중구 을지로동(1114060500)","2,515","1,431","1,084","166","68","98","163","63","100","694","360","334"
"서울특별시 중구 신당동(1114061500)","7,512","3,705","3,807","419","176","243","747","307","440","2,131","976","1,155"
"서울특별시 중구 다산동(1114062500)","13,410","6,487","6,923","989","522","467","1,536","767","769","3,476","1,724","1,752"
"서울특별시 중구 약수동(1114063500)","16,303","7,521","8,782","1,585","778","807","1,743","879","864","3,140","1,522","1,618"
"서울특별시 중구 청구동(1114064500)","13,110","6,193","6,917","1,241","632","609","1,515","756","759","2,914","1,407","1,507"
"서울특별시 중구 신당제5동(1114065000)","10,130","4,905","5,225","875","437","438","1,115","515","600","2,548","1,154","1,394"
"서울특별시 중구 동화동(1114066500)","9,984","4,806","5,178","1,189","626","563","1,378","685","693","1,963","956","1,007"
"서울특별시 중구 황학동(1114067000)","12,818","6,079","6,739","1,018","518","500","1,226","515","711","3,949","1,750","2,199"
"서울특별시 중구 중림동(1114068000)","11,957","5,902","6,055","1,507","782","725","1,290","662","628","2,251","1,029","1,222"
"서울특별시 용산구 (1117000000)","217,438","104,495","112,943","22,392","11,405","10,987","27,599","13,329","14,270","53,817","25,702","28,115"
"서울특별시 용산구 후암동(1117051000)","16,172","7,861","8,311","1,635","865","770","2,039","1,068","971","3,918","2,001","1,917"
"서울특별시 용산구 용산2가동(1117052000)","9,006","4,348","4,658","592","307","285","925","458","467","2,357","1,203","1,154"
"서울특별시 용산구 남영동(1117053000)","6,989","4,241","2,748","289","160","129","533","251","282","1,472","703","769"
"서울특별시 용산구 청파동(1117055500)","19,070","8,870","10,200","1,227","608","619","2,858","1,070","1,788","6,408","2,755","3,653"
"서울특별시 용산구 원효로제1동(1117056000)","17,139","7,975","9,164","1,890","972","918","1,994","891","1,103","5,418","2,291","3,127"
"서울특별시 용산구 원효로제2동(1117057000)","13,690","6,432","7,258","1,575","732","843","1,936","843","1,093","3,312","1,517","1,795"
"서울특별시 용산구 효창동(1117058000)","10,769","5,117","5,652","1,330","679","651","1,463","724","739","2,788","1,331","1,457"
"서울특별시 용산구 용문동(1117059000)","11,464","5,497","5,967","1,129","559","570","1,362","693","669","2,793","1,355","1,438"
"서울특별시 용산구 한강로동(1117062500)","21,135","10,024","11,111","2,015","1,051","964","2,176","1,055","1,121","6,140","2,727","3,413"
"서울특별시 용산구 이촌제1동(1117063000)","25,015","11,747","13,268","4,387","2,256","2,131","4,303","2,174","2,129","4,093","1,962","2,131"
"서울특별시 용산구 이촌제2동(1117064000)","7,979","3,729","4,250","816","395","421","863","427","436","1,454","741","713"
"서울특별시 용산구 이태원제1동(1117065000)","6,108","3,031","3,077","384","177","207","540","266","274","1,649","916","733"
"서울특별시 용산구 이태원제2동(1117066000)","8,667","4,050","4,617","680","323","357","909","430","479","2,208","1,108","1,100"
"서울특별시 용산구 한남동(1117068500)","19,185","9,268","9,917","1,926","1,011","915","2,069","1,086","983","4,248","2,077","2,171"
"서울특별시 용산구 서빙고동(1117069000)","12,527","6,038","6,489","1,748","874","874","2,350","1,158","1,192","2,490","1,264","1,226"
"서울특별시 용산구 보광동(1117070000)","12,523","6,267","6,256","769","436","333","1,279","735","544","3,069","1,751","1,318"
"서울특별시 성동구 (1120000000)","279,760","135,931","143,829","31,576","16,084","15,492","37,950","18,519","19,431","67,777","32,951","34,826"
"서울특별시 성동구 왕십리제2동(1120052000)","16,236","7,816","8,420","1,947","977","970","2,082","1,015","1,067","3,766","1,781","1,985"
"서울특별시 성동구 왕십리도선동(1120053500)","26,423","12,431","13,992","3,341","1,736","1,605","3,557","1,689","1,868","6,618","2,911","3,707"
"서울특별시 성동구 마장동(1120054000)","21,914","10,817","11,097","2,119","1,067","1,052","3,423","1,665","1,758","6,235","3,180","3,055"
"서울특별시 성동구 사근동(1120055000)","12,101","6,341","5,760","695","340","355","3,485","1,731","1,754","6,260","3,506","2,754"
"서울특별시 성동구 행당제1동(1120056000)","13,750","6,602","7,148","1,634","821","813","2,013","918","1,095","3,461","1,631","1,830"
"서울특별시 성동구 행당제2동(1120057000)","22,988","10,707","12,281","3,088","1,482","1,606","3,357","1,532","1,825","4,540","2,080","2,460"
"서울특별시 성동구 응봉동(1120058000)","14,959","7,104","7,855","2,245","1,175","1,070","2,455","1,211","1,244","2,808","1,328","1,480"
"서울특별시 성동구 금호1가동(1120059000)","14,947","7,114","7,833","1,965","1,004","961","1,882","936","946","2,701","1,278","1,423"
"서울특별시 성동구 금호2.3가동(1120061500)","22,073","10,557","11,516","2,564","1,321","1,243","2,465","1,247","1,218","4,481","2,206","2,275"
"서울특별시 성동구 금호4가동(1120062000)","14,264","6,761","7,503","1,992","1,042","950","1,591","799","792","2,511","1,183","1,328"
"서울특별시 성동구 옥수동(1120064500)","25,492","11,824","13,668","3,628","1,793","1,835","2,931","1,453","1,478","4,750","2,172","2,578"
"서울특별시 성동구 성수1가제1동(1120065000)","15,630","7,781","7,849","1,615","851","764","1,932","986","946","3,880","1,962","1,918"
"서울특별시 성동구 성수1가제2동(1120066000)","12,091","5,912","6,179","1,204","616","588","1,515","754","761","3,168","1,522","1,646"
"서울특별시 성동구 성수2가제1동(1120067000)","14,903","7,734","7,169","1,212","616","596","1,574","798","776","3,373","1,761","1,612"
"서울특별시 성동구 성수2가제3동(1120069000)","10,207","5,105","5,102","861","455","406","1,116","555","561","2,821","1,341","1,480"
"서울특별시 성동구 송정동(1120072000)","9,922","5,244","4,678","782","431","351","1,101","583","518","2,503","1,317","1,186"
"서울특별시 성동구 용답동(1120079000)","11,860","6,081","5,779","684","357","327","1,471","647","824","3,901","1,792","2,109"
"서울특별시 광진구 (1121500000)","336,580","162,020","174,560","34,526","17,655","16,871","50,064","24,210","25,854","93,915","44,958","48,957"
"서울특별시 광진구 화양동(1121571000)","23,406","11,106","12,300","683","321","362","5,234","2,022","3,212","13,824","6,241","7,583"
"서울특별시 광진구 군자동(1121573000)","19,318","9,553","9,765","1,404","755","649","2,674","1,294","1,380","6,591","3,240","3,351"
"서울특별시 광진구 중곡제1동(1121574000)","15,416","7,333","8,083","1,105","574","531","1,676","767","909","4,821","2,134","2,687"
"서울특별시 광진구 중곡제2동(1121575000)","20,801","9,807","10,994","1,872","966","906","2,601","1,264","1,337","5,710","2,654","3,056"
"서울특별시 광진구 중곡제3동(1121576000)","15,906","7,858","8,048","1,255","663","592","1,798","864","934","4,125","2,040","2,085"
"서울특별시 광진구 중곡제4동(1121577000)","27,841","13,588","14,253","2,369","1,239","1,130","3,401","1,770","1,631","6,536","3,343","3,193"
"서울특별시 광진구 능동(1121578000)","11,180","5,130","6,050","864","440","424","1,297","605","692","3,843","1,690","2,153"
"서울특별시 광진구 광장동(1121581000)","34,061","16,489","17,572","7,020","3,618","3,402","7,952","4,037","3,915","5,822","2,864","2,958"
"서울특별시 광진구 자양제1동(1121582000)","22,134","10,772","11,362","1,867","974","893","2,997","1,555","1,442","6,475","3,232","3,243"
"서울특별시 광진구 자양제2동(1121583000)","23,745","11,521","12,224","2,618","1,321","1,297","3,178","1,657","1,521","5,418","2,708","2,710"
"서울특별시 광진구 자양제3동(1121584000)","27,434","13,104","14,330","3,930","1,988","1,942","4,321","2,100","2,221","5,729","2,785","2,944"
"서울특별시 광진구 자양제4동(1121584700)","17,958","8,932","9,026","1,197","601","596","1,838","854","984","4,768","2,390","2,378"
"서울특별시 광진구 구의제1동(1121585000)","23,365","11,174","12,191","1,804","889","915","3,027","1,438","1,589","7,807","3,716","4,091"
"서울특별시 광진구 구의제2동(1121586000)","25,875","12,379","13,496","3,096","1,584","1,512","3,815","1,937","1,878","5,552","2,698","2,854"
"서울특별시 광진구 구의제3동(1121587000)","28,140","13,274","14,866","3,442","1,722","1,720","4,255","2,046","2,209","6,894","3,223","3,671"
"서울특별시 동대문구 (1123000000)","337,680","165,868","171,812","35,519","18,159","17,360","51,013","24,211","26,802","85,722","41,817","43,905"
"서울특별시 동대문구 용신동(1123053600)","35,437","17,527","17,910","2,974","1,495","1,479","4,437","2,021","2,416","10,653","4,934","5,719"
"서울특별시 동대문구 제기동(1123054500)","24,103","12,340","11,763","1,778","923","855","3,522","1,756","1,766","6,431","3,466","2,965"
"서울특별시 동대문구 전농제1동(1123056000)","28,722","14,280","14,442","2,906","1,464","1,442","4,048","1,955","2,093","6,845","3,407","3,438"
"서울특별시 동대문구 전농제2동(1123057000)","18,104","8,670","9,434","2,271","1,146","1,125","2,689","1,322","1,367","3,249","1,625","1,624"
"서울특별시 동대문구 답십리제1동(1123060000)","28,057","13,516","14,541","3,968","2,004","1,964","3,799","1,802","1,997","6,383","2,891","3,492"
"서울특별시 동대문구 답십리제2동(1123061000)","27,699","13,392","14,307","3,020","1,490","1,530","3,387","1,675","1,712","5,613","2,785","2,828"
"서울특별시 동대문구 장안제1동(1123065000)","37,814","18,668","19,146","4,226","2,179","2,047","4,726","2,290","2,436","8,414","4,025","4,389"
"서울특별시 동대문구 장안제2동(1123066000)","32,488","16,115","16,373","4,866","2,582","2,284","4,768","2,506","2,262","6,229","3,116","3,113"
"서울특별시 동대문구 청량리동(1123070500)","18,853","9,343","9,510","1,393","721","672","2,024","1,025","999","3,445","1,797","1,648"
"서울특별시 동대문구 회기동(1123071000)","10,513","4,994","5,519","806","414","392","2,598","1,069","1,529","4,588","2,174","2,414"
"서울특별시 동대문구 휘경제1동(1123072000)","13,943","6,574","7,369","1,262","641","621","2,753","1,098","1,655","5,054","2,193","2,861"
"서울특별시 동대문구 휘경제2동(1123073000)","24,445","12,179","12,266","2,387","1,217","1,170","5,073","2,437","2,636","8,073","4,221","3,852"
"서울특별시 동대문구 이문제1동(1123074000)","17,951","8,884","9,067","1,365","705","660","4,113","1,791","2,322","6,632","3,282","3,350"
"서울특별시 동대문구 이문제2동(1123075000)","19,551","9,386","10,165","2,297","1,178","1,119","3,076","1,464","1,612","4,113","1,901","2,212"
"서울특별시 중랑구 (1126000000)","384,650","189,019","195,631","39,057","20,007","19,050","47,083","23,413","23,670","85,748","42,188","43,560"
"서울특별시 중랑구 면목제2동(1126052000)","23,770","11,830","11,940","2,084","1,054","1,030","2,696","1,313","1,383","5,080","2,528","2,552"
"서울특별시 중랑구 면목제4동(1126054000)","18,370","9,142","9,228","1,803","933","870","2,166","1,143","1,023","3,642","1,886","1,756"
"서울특별시 중랑구 면목제5동(1126055000)","14,696","7,354","7,342","2,030","1,036","994","1,605","819","786","2,869","1,472","1,397"
"서울특별시 중랑구 면목본동(1126056500)","32,958","16,259","16,699","2,501","1,256","1,245","3,622","1,759","1,863","8,144","4,037","4,107"
"서울특별시 중랑구 면목제7동(1126057000)","21,416","10,692","10,724","1,908","1,025","883","2,262","1,122","1,140","4,757","2,351","2,406"
"서울특별시 중랑구 면목제3.8동(1126057500)","24,650","12,211","12,439","1,920","989","931","2,726","1,384","1,342","5,619","2,874","2,745"
"서울특별시 중랑구 상봉제1동(1126058000)","23,367","11,350","12,017","2,930","1,516","1,414","3,200","1,683","1,517","5,007","2,445","2,562"
"서울특별시 중랑구 상봉제2동(1126059000)","20,247","9,725","10,522","1,236","644","592","1,940","870","1,070","7,069","3,132","3,937"
"서울특별시 중랑구 중화제1동(1126060000)","18,987","9,332","9,655","1,934","979","955","2,222","1,110","1,112","4,242","2,096","2,146"
"서울특별시 중랑구 중화제2동(1126061000)","24,255","12,455","11,800","1,672","903","769","2,358","1,202","1,156","5,514","2,778","2,736"
"서울특별시 중랑구 묵제1동(1126062000)","33,929","16,208","17,721","4,182","2,148","2,034","5,370","2,622","2,748","7,549","3,552","3,997"
"서울특별시 중랑구 묵제2동(1126063000)","18,355","8,976","9,379","1,681","880","801","2,120","1,047","1,073","4,110","2,029","2,081"
"서울특별시 중랑구 망우본동(1126065500)","35,607","17,587","18,020","4,055","2,033","2,022","4,038","1,916","2,122","7,951","3,862","4,089"
"서울특별시 중랑구 망우제3동(1126066000)","15,847","7,958","7,889","1,255","618","637","1,832","881","951","3,282","1,679","1,603"
"서울특별시 중랑구 신내1동(1126068000)","38,326","18,515","19,811","5,653","2,876","2,777","6,313","3,249","3,064","7,156","3,608","3,548"
"서울특별시 중랑구 신내2동(1126069000)","19,870","9,425","10,445","2,213","1,117","1,096","2,613","1,293","1,320","3,757","1,859","1,898"
"서울특별시 성북구 (1129000000)","429,689","206,319","223,370","52,542","26,828","25,714","71,319","34,281","37,038","99,542","48,074","51,468"
"서울특별시 성북구 성북동(1129052500)","16,091","7,474","8,617","1,457","739","718","2,292","1,081","1,211","4,215","1,949","2,266"
"서울특별시 성북구 삼선동(1129055500)","22,466","10,662","11,804","2,121","1,089","1,032","3,888","1,797","2,091","6,181","2,820","3,361"
"서울특별시 성북구 동선동(1129057500)","15,030","6,206","8,824","970","459","511","3,362","931","2,431","6,278","2,125","4,153"
"서울특별시 성북구 돈암제1동(1129058000)","14,349","6,684","7,665","1,515","749","766","2,087","972","1,115","2,995","1,399","1,596"
"서울특별시 성북구 돈암제2동(1129059000)","23,528","11,126","12,402","3,800","1,899","1,901","4,274","2,117","2,157","4,301","2,131","2,170"
"서울특별시 성북구 안암동(1129060000)","15,120","7,618","7,502","804","421","383","3,774","1,829","1,945","7,132","3,757","3,375"
"서울특별시 성북구 보문동(1129061000)","16,305","7,801","8,504","1,772","880","892","2,246","1,033","1,213","4,276","2,049","2,227"
"서울특별시 성북구 정릉제1동(1129062000)","17,861","8,553","9,308","2,536","1,301","1,235","2,997","1,469","1,528","3,590","1,768","1,822"
"서울특별시 성북구 정릉제2동(1129063000)","22,675","10,953","11,722","2,525","1,299","1,226","3,287","1,684","1,603","4,820","2,407","2,413"
"서울특별시 성북구 정릉제3동(1129064000)","15,154","7,553","7,601","1,052","558","494","2,948","1,569","1,379","4,725","2,658","2,067"
"서울특별시 성북구 정릉제4동(1129065000)","24,338","11,652","12,686","2,781","1,453","1,328","3,755","1,901","1,854","4,817","2,412","2,405"
"서울특별시 성북구 길음제1동(1129066000)","34,801","16,463","18,338","7,175","3,594","3,581","7,349","3,593","3,756","5,348","2,519","2,829"
"서울특별시 성북구 길음제2동(1129068500)","21,844","10,475","11,369","3,696","1,899","1,797","3,569","1,793","1,776","4,041","1,908","2,133"
"서울특별시 성북구 종암동(1129070500)","38,048","18,794","19,254","4,849","2,567","2,282","6,418","3,398","3,020","8,352","4,420","3,932"
"서울특별시 성북구 월곡제1동(1129071500)","25,859","12,472","13,387","3,642","1,808","1,834","4,138","1,986","2,152","4,688","2,229","2,459"
"서울특별시 성북구 월곡제2동(1129072500)","19,169","9,135","10,034","1,878","1,010","868","3,201","1,287","1,914","5,171","2,247","2,924"
"서울특별시 성북구 장위제1동(1129076000)","23,732","11,540","12,192","2,968","1,473","1,495","3,340","1,695","1,645","4,948","2,516","2,432"
"서울특별시 성북구 장위제2동(1129077000)","13,286","6,507","6,779","1,115","572","543","1,600","786","814","2,894","1,439","1,455"
"서울특별시 성북구 장위제3동(1129078000)","15,788","7,748","8,040","2,605","1,334","1,271","2,487","1,221","1,266","3,185","1,551","1,634"
