"행정구역","2023년05월_남자 평균연령","2023년05월_여자 평균연령","2023년05월_평균연령"
"전국  (1000000000)","43.3","45.6","44.5"
"서울특별시  (1100000000)","43.4","44.9","44.2"
"서울특별시 종로구 (1111000000)","45.3","46.3","45.8"
"서울특별시 종로구 청운효자동(1111051500)","43.3","46","44.7"
"서울특별시 종로구 사직동(1111053000)","45.7","46.2","46"
"서울특별시 종로구 삼청동(1111054000)","48","49.9","49"
"서울특별시 종로구 부암동(1111055000)","44.7","47.3","46.1"
"서울특별시 종로구 평창동(1111056000)","44.7","47","45.9"
"서울특별시 종로구 무악동(1111057000)","44.2","44.3","44.3"
"서울특별시 종로구 교남동(1111058000)","42.7","44.3","43.6"
"서울특별시 종로구 가회동(1111060000)","46","48.6","47.4"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","51.2","48.4","50.1"
"서울특별시 종로구 종로5.6가동(1111063000)","46.5","45","45.8"
"서울특별시 종로구 이화동(1111064000)","44.4","45.8","45.1"
"서울특별시 종로구 혜화동(1111065000)","41.1","43.1","42.2"
"서울특별시 종로구 창신제1동(1111067000)","50.3","51.5","50.9"
"서울특별시 종로구 창신제2동(1111068000)","49.1","51.5","50.3"
"서울특별시 종로구 창신제3동(1111069000)","45.4","47.5","46.5"
"서울특별시 종로구 숭인제1동(1111070000)","46.9","48.9","48"
"서울특별시 종로구 숭인제2동(1111071000)","46","43.5","44.7"
"서울특별시 중구 (1114000000)","45.5","46.8","46.1"
"서울특별시 중구 소공동(1114052000)","42.9","41","41.9"
"서울특별시 중구 회현동(1114054000)","51.3","51","51.1"
"서울특별시 중구 명동(1114055000)","47.7","51.7","50"
"서울특별시 중구 필동(1114057000)","45.4","46.6","46"
"서울특별시 중구 장충동(1114058000)","41.4","44.7","43"
"서울특별시 중구 광희동(1114059000)","46.1","44.8","45.5"
"서울특별시 중구 을지로동(1114060500)","47.5","42.6","45.4"
"서울특별시 중구 신당동(1114061500)","47.1","46.1","46.6"
"서울특별시 중구 다산동(1114062500)","45.5","47.8","46.7"
"서울특별시 중구 약수동(1114063500)","46.9","49.5","48.3"
"서울특별시 중구 청구동(1114064500)","45.6","48.1","46.9"
"서울특별시 중구 신당제5동(1114065000)","45.3","46","45.7"
"서울특별시 중구 동화동(1114066500)","45","47.1","46.1"
"서울특별시 중구 황학동(1114067000)","43.1","43.5","43.3"
"서울특별시 중구 중림동(1114068000)","44.3","45.2","44.7"
"서울특별시 용산구 (1117000000)","43.9","45.4","44.7"
"서울특별시 용산구 후암동(1117051000)","43.6","46.7","45.2"
"서울특별시 용산구 용산2가동(1117052000)","45.6","48.9","47.3"
"서울특별시 용산구 남영동(1117053000)","51.8","47.7","50.2"
"서울특별시 용산구 청파동(1117055500)","44.1","44.1","44.1"
"서울특별시 용산구 원효로제1동(1117056000)","40.7","40.6","40.7"
"서울특별시 용산구 원효로제2동(1117057000)","44","44.5","44.2"
"서울특별시 용산구 효창동(1117058000)","41.6","43.3","42.5"
"서울특별시 용산구 용문동(1117059000)","44.2","46.3","45.3"
"서울특별시 용산구 한강로동(1117062500)","43.1","43.1","43.1"
"서울특별시 용산구 이촌제1동(1117063000)","42.1","44.4","43.3"
"서울특별시 용산구 이촌제2동(1117064000)","45.8","48.6","47.3"
"서울특별시 용산구 이태원제1동(1117065000)","45.7","49","47.3"
"서울특별시 용산구 이태원제2동(1117066000)","44.8","47.6","46.3"
"서울특별시 용산구 한남동(1117068500)","44.2","46.3","45.3"
"서울특별시 용산구 서빙고동(1117069000)","43.1","45.1","44.1"
"서울특별시 용산구 보광동(1117070000)","45.3","50.4","47.8"
"서울특별시 성동구 (1120000000)","43.2","44.7","44"
"서울특별시 성동구 왕십리제2동(1120052000)","43","44.2","43.7"
"서울특별시 성동구 왕십리도선동(1120053500)","42.1","43.1","42.6"
"서울특별시 성동구 마장동(1120054000)","43.6","45.2","44.4"
"서울특별시 성동구 사근동(1120055000)","36.7","39.3","37.9"
"서울특별시 성동구 행당제1동(1120056000)","42.8","43.7","43.3"
"서울특별시 성동구 행당제2동(1120057000)","43.6","44.8","44.2"
"서울특별시 성동구 응봉동(1120058000)","42.6","44.7","43.7"
"서울특별시 성동구 금호1가동(1120059000)","43.4","45.8","44.7"
"서울특별시 성동구 금호2.3가동(1120061500)","43.4","46","44.8"
"서울특별시 성동구 금호4가동(1120062000)","42.7","45.5","44.2"
"서울특별시 성동구 옥수동(1120064500)","42.7","44.3","43.5"
"서울특별시 성동구 성수1가제1동(1120065000)","43.4","44.7","44"
"서울특별시 성동구 성수1가제2동(1120066000)","43.5","44.4","43.9"
"서울특별시 성동구 성수2가제1동(1120067000)","46.5","47.5","47"
"서울특별시 성동구 성수2가제3동(1120069000)","44.8","45.1","45"
"서울특별시 성동구 송정동(1120072000)","45.4","46.9","46.1"
"서울특별시 성동구 용답동(1120079000)","45.8","44.8","45.3"
"서울특별시 광진구 (1121500000)","42.9","44","43.5"
"서울특별시 광진구 화양동(1121571000)","37.9","36.5","37.1"
"서울특별시 광진구 군자동(1121573000)","42.7","44","43.3"
"서울특별시 광진구 중곡제1동(1121574000)","44.3","44.4","44.4"
"서울특별시 광진구 중곡제2동(1121575000)","44","45","44.5"
"서울특별시 광진구 중곡제3동(1121576000)","45.1","46.8","46"
"서울특별시 광진구 중곡제4동(1121577000)","45.5","47.6","46.6"
