광역시도,행정구역_x,shortName,면적,인구수,x,y,행정구역_y,신혼수_21,신혼증감_21,신혼증감률_21
경기도,수원시,장안구,121.09,1125461,15,1,장안구,3917,18,0.5
경기도,수원시,권선구,121.09,1125461,15,2,권선구,7403,-830,-10.1
경기도,수원시,팔달구,121.09,1125461,15,3,팔달구,3188,499,18.6
경기도,수원시,영통구,121.09,1125461,15,4,영통구,8878,-1083,-10.9
경기도,성남시,수정구,121.09,1125461,15,5,수정구,4525,-371,-7.6
경기도,성남시,중원구,121.09,1125461,15,6,중원구,3664,-94,-2.5
경기도,성남시,분당구,121.09,1125461,15,7,분당구,8996,-591,-6.2
경기도,안산시,만안구,121.09,1125461,15,8,만안구,4452,-68,-1.5
경기도,안산시,동안구,121.09,1125461,15,9,동안구,6042,-313,-4.9
경기도,안산시,상록구,121.09,1125461,15,10,상록구,4898,-242,-4.7
경기도,안산시,단원구,121.09,1125461,15,11,단원구,5359,-235,-4.2
경기도,고양시,덕양구,121.09,1125461,15,12,덕양구,10332,-208,-2.0
경기도,고양시,일산동구,121.09,1125461,15,13,일산동구,4319,-235,-5.2
경기도,고양시,일산서구,121.09,1125461,15,14,일산서구,4657,-426,-8.4
경기도,용인시,처인구,121.09,1125461,15,15,처인구,4341,-362,-7.7
경기도,용인시,기흥구,121.09,1125461,15,16,기흥구,8196,-873,-9.6
경기도,용인시,수지구,121.09,1125461,15,17,수지구,7339,-830,-10.2
전라북도,전주시,완산구,121.09,1125461,15,24,완산구,4662,-448,-8.8
전라북도,전주시,덕진구,121.09,1125461,15,25,덕진구,6050,-200,-3.2
충청남도,천안시,동남구,121.09,1125461,15,22,동남구,4044,-527,-11.5
충청남도,천안시,서북구,121.09,1125461,15,23,서북구,10106,-1056,-9.5
충청북도,청주시,상당구,121.09,1125461,15,18,상당구,3310,106,3.3
충청북도,청주시,서원구,121.09,1125461,15,19,서원구,2675,-210,-7.3
충청북도,청주시,흥덕구,121.09,1125461,15,20,흥덕구,5725,-382,-6.3
충청북도,청원구,청원구,121.09,1125461,15,21,청원구,4383,-380,-8.0
경상남도,창원시,의창구,121.09,1125461,14,21,의창구,3842,-1366,-26.2
경상남도,창원시,성산구,121.09,1125461,14,22,성산구,4283,324,8.2
경상남도,마산시,마산합포구,121.09,1125461,14,23,마산합포구,2792,208,8.0
경상남도,마산시,마산회원구,121.09,1125461,14,24,마산회원구,2289,-296,-11.5
경상남도,창원시,진해구,121.09,1125461,14,25,진해구,3450,-366,-9.6
경상북도,포항시,남구,121.09,1125461,14,19,남구,3098,-348,-10.1
경상북도,포항시,북구,121.09,1125461,14,20,북구,4378,-254,-5.5
경상북도,울릉군,울릉,72.82,8392,13,6,울릉군,92,-6,-6.1
경상북도,울진군,울진,989.06,46748,12,9,울진군,605,-87,-12.6
경상북도,영덕군,영덕,741.05,34864,12,10,영덕군,250,-80,-24.2
경상북도,포항시,포항,1127.0,488395,12,11,포항시,7476,-602,-7.5
경상북도,경주시,경주,1323.85,242618,12,12,경주시,3212,-114,-3.4
부산광역시,기장군,기장,217.9,142223,12,16,기장군,3458,-330,-8.7
부산광역시,해운대구,해운대,51.44,397134,12,17,해운대구,5505,-258,-4.5
울산광역시,북구,북구,80.41,180756,12,13,북구,5320,-666,-11.1
울산광역시,동구,동구,35.77,164738,12,14,동구,2361,-542,-18.7
울산광역시,남구,남구,72.11,327270,12,15,남구,5435,-533,-8.9
강원도,강릉시,강릉,1040.07,202520,11,4,강릉시,3079,-103,-3.2
강원도,동해시,동해,180.01,86747,11,5,동해시,1257,-68,-5.1
강원도,정선군,정선,1220.67,34242,11,6,정선군,313,-39,-11.1
강원도,태백시,태백,303.57,44175,11,7,태백시,394,-70,-15.1
강원도,삼척시,삼척,1185.8,63986,11,8,삼척시,770,-117,-13.2
경상북도,봉화군,봉화,1201.0,30287,11,9,봉화군,169,-57,-25.2
경상북도,영양군,영양,815.11,16009,11,10,영양군,116,-30,-20.5
경상북도,청송군,청송,842.45,23804,11,11,청송군,196,-11,-5.3
경상북도,경산시,경산,411.58,251220,11,12,경산시,4514,-229,-4.8
대구광역시,동구,동구,182.35,330830,11,13,동구,5969,-403,-6.3
부산광역시,동래구,동래,16.6,256584,11,16,동래구,4006,-516,-11.4
부산광역시,연제구,연제,12.08,198383,11,17,연제구,3478,-559,-13.8
부산광역시,수영구,수영,10.16,168618,11,18,수영구,2720,-308,-10.2
부산광역시,남구,남구,25.91,271753,11,19,남구,3135,-448,-12.5
울산광역시,중구,중구,37.0,229589,11,14,중구,2905,-479,-14.2
울산광역시,울주군,울주,754.93,203232,11,15,울주군,3443,-307,-8.2
강원도,양양군,양양,628.68,24551,10,2,양양군,281,-16,-5.4
강원도,춘천시,춘천,1116.35,264144,10,3,춘천시,4851,-179,-3.6
강원도,홍천군,홍천,1817.94,62957,10,4,홍천군,751,-66,-8.1
강원도,횡성군,횡성,997.82,39668,10,5,횡성군,370,-36,-8.9
강원도,평창군,평창,1463.65,38439,10,6,평창군,329,-53,-13.9
강원도,원주시,원주,867.3,313851,10,7,원주시,6411,-218,-3.3
강원도,영월군,영월,1127.36,34966,10,8,영월군,307,-35,-10.2
경상북도,영주시,영주,668.45,101612,10,9,영주시,1042,-102,-8.9
경상북도,안동시,안동,1519.0,157317,10,10,안동시,1981,-160,-7.5
경상북도,의성군,의성,1175.89,48776,10,11,의성군,321,-79,-19.8
경상북도,영천시,영천,919.76,91214,10,12,영천시,1239,-55,-4.3
대구광역시,중구,중구,7.08,74950,10,13,중구,1306,-130,-9.1
대구광역시,수성구,수성,76.49,427477,10,14,수성구,4473,-312,-6.5
부산광역시,금정구,금정,65.19,235887,10,15,금정구,2576,-249,-8.8
부산광역시,부산진구,부산진,29.7,365721,10,16,부산진구,5709,-174,-3.0
부산광역시,동구,동구,9.77,85952,10,17,동구,1345,-64,-4.5
부산광역시,중구,중구,2.8,43105,10,18,중구,346,9,2.7
부산광역시,영도구,영도,13.98,122446,10,19,영도구,993,-3,-0.3
강원도,고성군,고성,664.19,25589,9,0,고성군,257,-4,-1.5
강원도,속초시,속초,105.25,76733,9,1,속초시,1251,-120,-8.8
강원도,인제군,인제,1646.08,29260,9,2,인제군,670,-15,-2.2
경기도,가평군,가평,843.04,53497,9,3,가평군,640,-66,-9.3
경기도,구리시,구리,33.3,175676,9,4,구리시,3302,-257,-7.2
경기도,하남시,하남,93.1,150061,9,5,하남시,7821,500,6.8
경기도,양평군,양평,877.08,95614,9,6,양평군,1187,-98,-7.6
경기도,여주시,여주,608.64,100669,9,7,여주시,1344,-100,-6.9
경상남도,거제시,거제,400.7,240442,9,20,거제시,3703,-1002,-21.3
경상북도,문경시,문경,912.0,67919,9,8,문경시,629,-70,-10.0
경상북도,예천군,예천,660.7,40779,9,9,예천군,911,-49,-5.1
경상북도,구미시,구미,616.1,396685,9,10,구미시,8161,-1017,-11.1
경상북도,군위군,군위,614.15,20596,9,11,군위군,114,-20,-14.9
경상북도,칠곡군,칠곡,451.0,112446,9,12,칠곡군,1461,-308,-17.4
대구광역시,북구,북구,95.5,431681,9,13,북구,7334,-863,-10.5
대구광역시,남구,남구,17.44,154414,9,14,남구,1699,-109,-6.0
대구광역시,달성군,달성,427.03,178203,9,15,달성군,6961,-824,-10.6
부산광역시,북구,북구,38.3,292375,9,16,북구,4521,-72,-1.6
부산광역시,사상구,사상,35.8,228824,9,17,사상구,2673,-285,-9.6
부산광역시,서구,서구,13.67,107107,9,18,서구,1148,-100,-8.0
부산광역시,사하구,사하,40.89,322757,9,19,사하구,4259,-438,-9.3
강원도,양구군,양구,700.8,20809,8,0,양구군,445,-50,-10.1
경기도,포천시,포천,826.38,140159,8,1,포천시,1754,-83,-4.5
경기도,양주시,양주,310.31,191266,8,2,양주시,3957,-250,-5.9
경기도,남양주시,남양주,458.44,610300,8,3,남양주시,12208,40,0.3
경기도,광주시,광주,431.84,290210,8,7,광주시,7761,-952,-10.9
경기도,이천시,이천,461.02,190537,8,8,이천시,4167,-44,-1.0
경상남도,밀양시,밀양,799.03,97525,8,16,밀양시,911,-111,-10.9
경상남도,양산시,양산,404.38,282278,8,17,양산시,6915,-707,-9.3
경상남도,김해시,김해,463.26,500641,8,19,김해시,9338,-1159,-11.0
경상남도,통영시,통영,236.5,129599,8,20,통영시,1233,-249,-16.8
경상북도,상주시,상주,1254.82,93305,8,9,상주시,827,-114,-12.1
경상북도,김천시,김천,1009.56,127941,8,11,김천시,1981,-201,-9.2
경상북도,성주군,성주,616.28,38277,8,12,성주군,358,-37,-9.4
경상북도,청도군,청도,696.52,38571,8,13,청도군,217,-54,-19.9
대구광역시,서구,서구,17.5,196378,8,14,서구,1347,-222,-14.1
대구광역시,달서구,달서,62.3,584517,8,15,달서구,7720,-1053,-12.0
부산광역시,강서구,강서,179.05,84722,8,18,강서구,4353,-362,-7.7
서울특별시,중랑구,중랑,18.5,391655,8,4,중랑구,7444,-316,-4.1
서울특별시,강동구,강동,24.6,432028,8,5,강동구,10493,132,1.3
서울특별시,송파구,송파,33.9,615487,8,6,송파구,13184,-1481,-10.1
충청북도,제천시,제천,882.47,127462,8,10,제천시,1579,-212,-11.8
강원도,화천군,화천,909.45,23612,7,0,화천군,495,-74,-13.0
경기도,연천군,연천,695.23,41076,7,1,연천군,569,-75,-11.6
경기도,동두천시,동두천,95.68,90398,7,2,동두천시,1173,-75,-6.0
경기도,의정부시,의정부,81.59,408220,7,3,의정부시,8155,-228,-2.7
경기도,과천시,과천,35.813,63227,7,7,과천시,1517,252,19.9
경기도,성남시,성남,141.82,911628,7,8,성남시,17184,-1056,-5.8
경기도,용인시,용인,591.5,915005,7,9,용인시,19876,-2064,-9.4
경상남도,합천군,합천,983.42,42515,7,14,합천군,251,-55,-18.0
경상남도,창녕군,창녕,533.09,56734,7,15,창녕군,499,-131,-20.8
경상남도,의령군,의령,482.95,25091,7,16,의령군,172,-22,-11.3
경상남도,함안군,함안,417.0,63142,7,17,함안군,507,-110,-17.8
경상남도,창원시,창원,734.87,1010040,7,18,창원시,16655,-1496,-8.2
경상남도,고성군,고성,517.06,49559,7,19,고성군,271,-57,-17.4
경상북도,고령군,고령,383.7,31189,7,13,고령군,185,-33,-15.1
서울특별시,동대문구,동대문,14.2,342429,7,4,동대문구,5839,-476,-7.5
서울특별시,성동구,성동,16.85,279939,7,5,성동구,6754,-876,-11.5
서울특별시,광진구,광진,17.05,342909,7,6,광진구,5806,-751,-11.5
충청북도,단양군,단양,781.07,27130,7,10,단양군,192,-26,-11.9
충청북도,괴산군,괴산,842.0,33297,7,11,괴산군,228,-49,-17.7
충청북도,보은군,보은,584.45,30685,7,12,보은군,211,-38,-15.3
강원도,철원군,철원,899.82,43189,6,0,철원군,819,-69,-7.8
경기도,의왕시,의왕,54.0,149080,6,8,의왕시,3201,-176,-5.2
경기도,수원시,수원,121.09,1125461,6,9,수원시,23385,-1396,-5.6
경상남도,거창군,거창,804.09,57384,6,15,거창군,573,-56,-8.9
경상남도,함양군,함양,725.03,36371,6,16,함양군,266,-32,-10.7
경상남도,진주시,진주,712.62,330378,6,17,진주시,5782,-226,-3.8
경상남도,사천시,사천,396.3,106388,6,18,사천시,1447,-123,-7.8
