행정구역별(1),행정구역별(2),17신혼 수,17신혼증감,17신혼증감률,18신혼 수,18신혼증감,18신혼증감률,19신혼 수,19신혼증감,19신혼증감률,20신혼 수,20신혼증감,20신혼증감률,21신혼 수,21신혼증감,21신혼증감률
행정구역별(1),행정구역별(2),원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률,원데이터,전년 대비 증감,증감률
전국,소계,1103270,-47861,-4.2,1052352,-50918,-4.6,998365,-53987,-5.1,938080,-60285,-6.0,871428,-66652,-7.1
서울특별시,소계,225322,-12356,-5.2,211434,-13888,-6.2,199294,-12140,-5.7,188790,-10504,-5.3,172850,-15940,-8.4
서울특별시,종로구,2614,37,1.4,2601,-13,-0.5,2315,-286,-11.0,2089,-226,-9.8,1851,-238,-11.4
서울특별시,중구,2970,-41,-1.4,3003,33,1.1,2822,-181,-6.0,2698,-124,-4.4,2421,-277,-10.3
서울특별시,용산구,5255,-267,-4.8,5261,6,0.1,5004,-257,-4.9,4762,-242,-4.8,4622,-140,-2.9
서울특별시,성동구,8809,392,4.7,8851,42,0.5,8292,-559,-6.3,7630,-662,-8.0,6754,-876,-11.5
서울특별시,광진구,8756,-384,-4.2,8184,-572,-6.5,7462,-722,-8.8,6557,-905,-12.1,5806,-751,-11.5
서울특별시,동대문구,6951,-559,-7.4,6880,-71,-1.0,6668,-212,-3.1,6315,-353,-5.3,5839,-476,-7.5
서울특별시,중랑구,9270,-320,-3.3,8770,-500,-5.4,8044,-726,-8.3,7760,-284,-3.5,7444,-316,-4.1
서울특별시,성북구,8646,-647,-7.0,8034,-612,-7.1,8134,100,1.2,7930,-204,-2.5,7371,-559,-7.0
서울특별시,강북구,5526,-403,-6.8,5026,-500,-9.0,4636,-390,-7.8,4274,-362,-7.8,3800,-474,-11.1
서울특별시,도봉구,6413,-562,-8.1,5866,-547,-8.5,5307,-559,-9.5,4828,-479,-9.0,4340,-488,-10.1
서울특별시,노원구,11775,-1185,-9.1,10505,-1270,-10.8,9512,-993,-9.5,8926,-586,-6.2,8524,-402,-4.5
서울특별시,은평구,10575,-977,-8.5,9923,-652,-6.2,9551,-372,-3.7,9330,-221,-2.3,8497,-833,-8.9
서울특별시,서대문구,6677,-365,-5.2,6161,-516,-7.7,5933,-228,-3.7,6045,112,1.9,5294,-751,-12.4
서울특별시,마포구,10300,-767,-6.9,9625,-675,-6.6,8980,-645,-6.7,8359,-621,-6.9,7505,-854,-10.2
서울특별시,양천구,9285,-701,-7.0,8521,-764,-8.2,7673,-848,-10.0,7204,-469,-6.1,6498,-706,-9.8
서울특별시,강서구,17524,-388,-2.2,16258,-1266,-7.2,14976,-1282,-7.9,13416,-1560,-10.4,12055,-1361,-10.1
