행정구역,신혼수_21,신혼증감_21,신혼증감률_21
전국 소계,871428,-66652,-7.1
서울특별시 소계,172850,-15940,-8.4
서울특별시 종로구,1851,-238,-11.4
서울특별시 중구,2421,-277,-10.3
서울특별시 용산구,4622,-140,-2.9
서울특별시 성동구,6754,-876,-11.5
서울특별시 광진구,5806,-751,-11.5
서울특별시 동대문구,5839,-476,-7.5
서울특별시 중랑구,7444,-316,-4.1
서울특별시 성북구,7371,-559,-7.0
서울특별시 강북구,3800,-474,-11.1
서울특별시 도봉구,4340,-488,-10.1
서울특별시 노원구,8524,-402,-4.5
서울특별시 은평구,8497,-833,-8.9
서울특별시 서대문구,5294,-751,-12.4
서울특별시 마포구,7505,-854,-10.2
서울특별시 양천구,6498,-706,-9.8
서울특별시 강서구,12055,-1361,-10.1
서울특별시 구로구,8548,-924,-9.8
서울특별시 금천구,4043,-182,-4.3
서울특별시 영등포구,9412,-547,-5.5
서울특별시 동작구,7032,-737,-9.5
서울특별시 관악구,7389,-1094,-12.9
서울특별시 서초구,6930,-765,-9.9
서울특별시 강남구,7206,-838,-10.4
서울특별시 송파구,13184,-1481,-10.1
서울특별시 강동구,10493,132,1.3
부산광역시 소계,50222,-4157,-7.6
부산광역시 중구,346,9,2.7
부산광역시 서구,1148,-100,-8.0
부산광역시 동구,1345,-64,-4.5
부산광역시 영도구,993,-3,-0.3
부산광역시 부산진구,5709,-174,-3.0
부산광역시 동래구,4006,-516,-11.4
부산광역시 남구,3135,-448,-12.5
부산광역시 북구,4521,-72,-1.6
부산광역시 해운대구,5505,-258,-4.5
부산광역시 사하구,4259,-438,-9.3
부산광역시 금정구,2576,-249,-8.8
부산광역시 강서구,4353,-362,-7.7
부산광역시 연제구,3478,-559,-13.8
부산광역시 수영구,2720,-308,-10.2
부산광역시 사상구,2673,-285,-9.6
부산광역시 기장군,3458,-330,-8.7
대구광역시 소계,36807,-3915,-9.6
대구광역시 중구,1306,-130,-9.1
대구광역시 동구,5969,-403,-6.3
대구광역시 서구,1347,-222,-14.1
대구광역시 남구,1699,-109,-6.0
대구광역시 북구,7334,-863,-10.5
대구광역시 수성구,4473,-312,-6.5
대구광역시 달서구,7720,-1053,-12.0
대구광역시 달성군,6961,-824,-10.6
인천광역시 소계,49626,-2953,-5.6
인천광역시 중구,2931,-65,-2.2
인천광역시 동구,732,27,3.8
인천광역시 연수구,7898,-588,-6.9
인천광역시 남동구,8017,-1039,-11.5
인천광역시 부평구,7860,-557,-6.6
인천광역시 계양구,4071,-134,-3.2
인천광역시 서구,10750,-487,-4.3
인천광역시 미추홀구,6541,-71,-1.1
인천광역시 강화군,577,-24,-4.0
인천광역시 옹진군,251,-14,-5.3
광주광역시 소계,23923,-1556,-6.1
광주광역시 동구,1976,18,0.9
광주광역시 서구,4073,-501,-11.0
광주광역시 남구,3062,-158,-4.9
광주광역시 북구,7444,-357,-4.6
광주광역시 광산구,7369,-559,-7.1
대전광역시 소계,24401,-1752,-6.7
대전광역시 동구,3117,40,1.3
대전광역시 중구,2907,-282,-8.8
대전광역시 서구,8253,-658,-7.4
대전광역시 유성구,7803,-876,-10.1
대전광역시 대덕구,2322,23,1.0
울산광역시 소계,19463,-2527,-11.5
울산광역시 중구,2905,-479,-14.2
울산광역시 남구,5435,-533,-8.9
울산광역시 동구,2361,-542,-18.7
