행정구역,총인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,평균연령
서울특별시  (1100000000),"9,418,885","530,837","744,507","1,379,056","1,425,785","1,435,754","1,490,647","1,311,328","723,982","331,600","43,937","1,452",44.2
서울특별시 종로구 (1111000000),"140,601","6,125","10,069","21,929","19,345","19,563","24,007","20,542","11,443","6,609",935,34,45.8
서울특별시 종로구 청운효자동(1111051500),"11,517",629,"1,116","1,411","1,550","1,965","1,899","1,399",915,552,78,3,44.7
서울특별시 종로구 사직동(1111053000),"9,104",494,665,"1,078","1,439","1,410","1,494","1,240",692,502,86,4,46.0
서울특별시 종로구 삼청동(1111054000),"2,291",82,169,264,294,320,350,393,241,150,26,2,49.0
서울특별시 종로구 부암동(1111055000),"9,133",397,854,"1,133","1,150","1,394","1,643","1,332",737,418,71,4,46.1
서울특별시 종로구 평창동(1111056000),"17,464","1,028","1,521","2,119","2,073","2,518","3,151","2,736","1,362",811,136,9,45.9
서울특별시 종로구 무악동(1111057000),"8,000",555,937,849,845,"1,293","1,419","1,093",590,371,45,3,44.3
서울특별시 종로구 교남동(1111058000),"9,759",742,815,"1,106","1,469","1,691","1,648","1,180",689,376,43,0,43.6
서울특별시 종로구 가회동(1111060000),"3,926",161,308,427,518,635,689,568,379,208,33,0,47.4
서울특별시 종로구 종로1.2.3.4가동(1111061500),"6,722",156,209,967,959,850,"1,124","1,331",707,371,46,2,50.1
서울특별시 종로구 종로5.6가동(1111063000),"5,426",153,213,"1,210",875,570,874,786,475,238,32,0,45.8
서울특별시 종로구 이화동(1111064000),"7,031",190,329,"1,542","1,225",835,"1,023",923,583,335,46,0,45.1
서울특별시 종로구 혜화동(1111065000),"16,080",538,"1,294","4,358","1,980","1,984","2,311","1,690","1,088",726,105,6,42.2
서울특별시 종로구 창신제1동(1111067000),"4,611",108,185,566,605,503,881,"1,013",468,259,23,0,50.9
서울특별시 종로구 창신제2동(1111068000),"7,598",171,348,"1,004",883,842,"1,693","1,444",783,384,46,0,50.3
서울특별시 종로구 창신제3동(1111069000),"6,417",317,436,846,910,823,"1,170","1,083",502,285,45,0,46.5
서울특별시 종로구 숭인제1동(1111070000),"5,768",200,350,705,805,828,"1,085",966,514,274,40,1,48.0
서울특별시 종로구 숭인제2동(1111071000),"9,754",204,320,"2,344","1,765","1,102","1,553","1,365",718,349,34,0,44.7
서울특별시 중구 (1114000000),"121,346","5,855","6,293","17,674","20,375","16,898","19,249","18,268","10,366","5,483",857,28,46.1
서울특별시 중구 소공동(1114052000),"2,215",152,132,240,480,502,321,234,102,44,8,0,41.9
서울특별시 중구 회현동(1114054000),"4,470",170,205,440,531,567,780,969,514,244,48,2,51.1
서울특별시 중구 명동(1114055000),"2,698",67,133,332,367,379,455,496,281,159,29,0,50.0
서울특별시 중구 필동(1114057000),"3,958",154,192,732,677,457,571,609,313,208,44,1,46.0
서울특별시 중구 장충동(1114058000),"4,591",137,295,"1,259",653,515,595,544,351,210,32,0,43.0
서울특별시 중구 광희동(1114059000),"5,675",116,194,"1,200","1,156",674,750,842,500,213,30,0,45.5
서울특별시 중구 을지로동(1114060500),"2,515",120,65,324,638,355,334,383,201,86,9,0,45.4
서울특별시 중구 신당동(1114061500),"7,512",246,248,"1,308","1,325","1,010","1,232","1,135",647,307,53,1,46.6
서울특별시 중구 다산동(1114062500),"13,410",464,695,"2,151","2,196","1,765","2,184","2,034","1,189",645,84,3,46.7
서울특별시 중구 약수동(1114063500),"16,303",869,911,"1,825","2,266","2,292","2,640","2,736","1,650",948,161,5,48.3
서울특별시 중구 청구동(1114064500),"13,110",652,770,"1,675","2,132","1,710","2,144","2,084","1,152",692,96,3,46.9
서울특별시 중구 신당제5동(1114065000),"10,130",497,493,"1,527","1,718","1,424","1,779","1,417",820,396,56,3,45.7
서울특별시 중구 동화동(1114066500),"9,984",587,783,"1,174","1,287","1,391","1,847","1,575",800,468,71,1,46.1
서울특별시 중구 황학동(1114067000),"12,818",676,472,"2,251","2,899","1,850","1,752","1,575",894,384,63,2,43.3
서울특별시 중구 중림동(1114068000),"11,957",948,705,"1,236","2,050","2,007","1,865","1,635",952,479,73,7,44.7
서울특별시 용산구 (1117000000),"217,438","11,567","14,111","31,150","38,010","32,096","35,009","29,529","15,597","8,938","1,379",52,44.7
서울특별시 용산구 후암동(1117051000),"16,172",754,"1,108","2,256","2,788","2,359","2,632","2,270","1,236",661,99,9,45.2
서울특별시 용산구 용산2가동(1117052000),"9,006",267,439,"1,377","1,629","1,239","1,270","1,360",872,476,77,0,47.3
서울특별시 용산구 남영동(1117053000),"6,989",134,232,821,"1,032",884,"1,509","1,428",631,285,29,4,50.2
서울특별시 용산구 청파동(1117055500),"19,070",527,"1,022","4,107","3,371","2,398","2,997","2,471","1,361",728,85,3,44.1
서울특별시 용산구 원효로제1동(1117056000),"17,139","1,147",966,"2,892","4,143","2,681","2,223","1,801",829,389,65,3,40.7
서울특별시 용산구 원효로제2동(1117057000),"13,690",775,"1,035","1,930","2,223","2,036","2,221","1,878",968,540,80,4,44.2
서울특별시 용산구 효창동(1117058000),"10,769",797,697,"1,616","1,992","1,632","1,728","1,214",648,391,53,1,42.5
서울특별시 용산구 용문동(1117059000),"11,464",621,662,"1,653","1,948","1,576","1,868","1,620",964,490,60,2,45.3
서울특별시 용산구 한강로동(1117062500),"21,135","1,239",995,"3,249","4,901","2,853","3,248","2,641","1,215",687,103,4,43.1
서울특별시 용산구 이촌제1동(1117063000),"25,015","2,220","2,686","2,557","2,952","4,203","4,393","2,996","1,635","1,143",223,7,43.3
서울특별시 용산구 이촌제2동(1117064000),"7,979",457,478,802,"1,291","1,143","1,289","1,342",721,382,71,3,47.3
서울특별시 용산구 이태원제1동(1117065000),"6,108",203,245,950,"1,107",797,916,"1,002",520,294,73,1,47.3
서울특별시 용산구 이태원제2동(1117066000),"8,667",365,428,"1,255","1,638","1,277","1,244","1,168",735,486,69,2,46.3
서울특별시 용산구 한남동(1117068500),"19,185","1,069","1,101","2,244","3,597","3,111","3,030","2,689","1,450",782,111,1,45.3
서울특별시 용산구 서빙고동(1117069000),"12,527",682,"1,391","1,605","1,403","2,221","2,197","1,586",727,611,99,5,44.1
서울특별시 용산구 보광동(1117070000),"12,523",310,626,"1,836","1,995","1,686","2,244","2,063","1,085",593,82,3,47.8
서울특별시 성동구 (1120000000),"279,760","17,538","18,561","41,781","45,463","41,644","44,770","38,459","20,190","10,082","1,227",45,44.0
서울특별시 성동구 왕십리제2동(1120052000),"16,236","1,128","1,088","2,232","2,779","2,412","2,620","2,237","1,137",527,76,0,43.7
서울특별시 성동구 왕십리도선동(1120053500),"26,423","2,002","1,691","4,143","4,410","3,982","4,301","3,271","1,622",872,126,3,42.6
서울특별시 성동구 마장동(1120054000),"21,914","1,023","1,493","4,170","3,169","2,709","3,468","3,169","1,711",894,106,2,44.4
서울특별시 성동구 사근동(1120055000),"12,101",352,861,"4,910","1,580","1,055","1,266",978,679,392,28,0,37.9
서울특별시 성동구 행당제1동(1120056000),"13,750",884,999,"2,154","2,202","2,084","2,191","1,748",935,476,69,8,43.3
서울특별시 성동구 행당제2동(1120057000),"22,988","1,597","1,907","2,676","3,409","3,648","3,969","3,026","1,775",873,105,3,44.2
서울특별시 성동구 응봉동(1120058000),"14,959",993,"1,538","1,697","2,010","2,662","2,458","1,823","1,109",600,67,2,43.7
서울특별시 성동구 금호1가동(1120059000),"14,947","1,123","1,077","1,569","2,325","2,533","2,332","2,178","1,156",583,69,2,44.7
서울특별시 성동구 금호2.3가동(1120061500),"22,073","1,580","1,302","2,531","3,808","3,570","3,542","3,082","1,680",860,111,7,44.8
서울특별시 성동구 금호4가동(1120062000),"14,264","1,220",942,"1,354","2,382","2,595","2,149","1,952","1,082",521,63,4,44.2
서울특별시 성동구 옥수동(1120064500),"25,492","2,323","1,635","2,496","4,532","4,425","3,862","3,397","1,798",891,129,4,43.5
서울특별시 성동구 성수1가제1동(1120065000),"15,630",886,948,"2,244","2,816","2,103","2,821","2,399",928,434,48,3,44.0
서울특별시 성동구 성수1가제2동(1120066000),"12,091",616,775,"1,796","2,318","1,784","1,860","1,660",845,391,46,0,43.9
서울특별시 성동구 성수2가제1동(1120067000),"14,903",627,756,"1,926","2,453","1,940","2,635","2,754","1,204",550,56,2,47.0
서울특별시 성동구 성수2가제3동(1120069000),"10,207",476,491,"1,731","1,829","1,369","1,607","1,482",791,388,41,2,45.0
서울특별시 성동구 송정동(1120072000),"9,922",416,501,"1,537","1,540","1,357","1,746","1,688",783,318,35,1,46.1
서울특별시 성동구 용답동(1120079000),"11,860",292,557,"2,615","1,901","1,416","1,943","1,615",955,512,52,2,45.3
서울특별시 광진구 (1121500000),"336,580","15,853","24,232","59,804","54,746","48,572","52,963","45,271","23,041","10,732","1,324",42,43.5
서울특별시 광진구 화양동(1121571000),"23,406",314,773,"10,300","4,704","2,066","2,004","1,682","1,004",499,59,1,37.1
서울특별시 광진구 군자동(1121573000),"19,318",685,993,"4,297","3,552","2,517","2,652","2,545","1,353",655,67,2,43.3
서울특별시 광진구 중곡제1동(1121574000),"15,416",594,684,"2,919","3,040","1,942","2,369","2,173","1,131",503,60,1,44.4
서울특별시 광진구 중곡제2동(1121575000),"20,801",876,"1,260","3,412","3,711","2,867","3,372","3,056","1,558",615,70,4,44.5
서울특별시 광진구 중곡제3동(1121576000),"15,906",617,854,"2,409","2,751","2,107","2,718","2,482","1,334",579,54,1,46.0
서울특별시 광진구 중곡제4동(1121577000),"27,841","1,090","1,689","4,054","4,069","3,647","5,097","4,684","2,395","1,014",98,4,46.6
서울특별시 광진구 능동(1121578000),"11,180",477,511,"2,264","2,488","1,623","1,404","1,311",711,356,34,1,42.5
서울특별시 광진구 광장동(1121581000),"34,061","2,538","5,404","3,880","3,328","6,907","6,013","3,392","1,538",894,161,6,40.4
서울특별시 광진구 자양제1동(1121582000),"22,134",789,"1,414","4,004","3,834","3,216","3,399","3,057","1,581",756,83,1,44.2
서울특별시 광진구 자양제2동(1121583000),"23,745","1,285","1,701","3,255","3,646","3,646","3,906","3,693","1,799",716,96,2,44.8
서울특별시 광진구 자양제3동(1121584000),"27,434","2,008","2,458","3,537","3,842","4,277","4,635","3,803","1,737",970,161,6,43.4
서울특별시 광진구 자양제4동(1121584700),"17,958",619,770,"2,986","2,982","2,259","2,821","3,058","1,646",739,77,1,46.8
서울특별시 광진구 구의제1동(1121585000),"23,365",897,"1,218","4,866","4,642","3,255","3,442","2,857","1,411",684,90,3,42.8
서울특별시 광진구 구의제2동(1121586000),"25,875","1,415","2,171","3,404","3,663","4,065","4,460","3,727","1,991",879,95,5,44.6
서울특별시 광진구 구의제3동(1121587000),"28,140","1,649","2,332","4,217","4,494","4,178","4,671","3,751","1,852",873,119,4,43.3
서울특별시 동대문구 (1123000000),"337,680","18,206","23,024","56,613","48,572","48,064","51,700","48,145","27,937","13,741","1,621",57,44.6
서울특별시 동대문구 용신동(1123053600),"35,437","1,685","1,733","6,701","6,451","4,917","5,073","4,738","2,593","1,385",154,7,44.0
서울특별시 동대문구 제기동(1123054500),"24,103",866,"1,295","4,508","3,108","2,741","3,656","3,869","2,547","1,349",157,7,47.3
서울특별시 동대문구 전농제1동(1123056000),"28,722","1,594","1,800","4,440","3,951","4,004","4,705","4,383","2,447","1,252",139,7,45.6
서울특별시 동대문구 전농제2동(1123057000),"18,104","1,025","1,612","2,002","2,086","2,752","3,163","2,891","1,598",886,86,3,46.4
서울특별시 동대문구 답십리제1동(1123060000),"28,057","2,399","1,947","3,846","4,785","4,744","4,061","3,509","1,782",863,114,7,42.2
서울특별시 동대문구 답십리제2동(1123061000),"27,699","1,629","1,778","3,260","4,227","3,866","4,630","4,433","2,470","1,253",152,1,46.4
서울특별시 동대문구 장안제1동(1123065000),"37,814","2,191","2,564","4,975","6,062","6,182","5,810","5,623","3,069","1,199",130,9,44.7
서울특별시 동대문구 장안제2동(1123066000),"32,488","2,516","2,868","3,717","4,721","5,716","5,003","4,466","2,420",947,111,3,43.3
서울특별시 동대문구 청량리동(1123070500),"18,853",658,983,"2,223","2,122","2,230","3,125","3,796","2,364","1,170",180,2,50.9
서울특별시 동대문구 회기동(1123071000),"10,513",325,762,"3,507","1,438","1,195","1,219",970,629,411,55,2,40.0
서울특별시 동대문구 휘경제1동(1123072000),"13,943",727,821,"3,730","2,118","1,635","1,891","1,511",966,475,66,3,41.3
서울특별시 동대문구 휘경제2동(1123073000),"24,445",998,"1,981","5,925","3,045","3,195","3,543","2,997","1,826",837,96,2,42.4
서울특별시 동대문구 이문제1동(1123074000),"17,951",575,"1,235","5,106","2,085","2,052","2,513","2,101","1,373",822,86,3,42.7
서울특별시 동대문구 이문제2동(1123075000),"19,551","1,018","1,645","2,673","2,373","2,835","3,308","2,858","1,853",892,95,1,45.8
서울특별시 중랑구 (1126000000),"384,650","19,901","24,592","51,408","57,635","54,253","65,125","62,921","32,548","14,463","1,750",54,46.0
서울특별시 중랑구 면목제2동(1126052000),"23,770","1,024","1,379","3,000","3,366","3,287","4,502","4,092","2,078",922,118,2,47.3
서울특별시 중랑구 면목제4동(1126054000),"18,370",889,"1,149","2,275","2,456","2,756","3,211","2,997","1,820",737,76,4,47.1
서울특별시 중랑구 면목제5동(1126055000),"14,696","1,358",854,"1,584","2,490","2,410","2,377","2,100","1,025",449,47,2,43.5
서울특별시 중랑구 면목본동(1126056500),"32,958","1,255","1,670","4,881","5,293","4,505","5,919","5,264","2,812","1,214",142,3,46.5
서울특별시 중랑구 면목제7동(1126057000),"21,416","1,060","1,094","2,843","3,255","2,916","3,660","3,669","2,006",805,106,2,46.9
서울특별시 중랑구 면목제3.8동(1126057500),"24,650",966,"1,281","3,452","3,549","3,257","4,438","4,334","2,258","1,009",104,2,47.5
서울특별시 중랑구 상봉제1동(1126058000),"23,367","1,527","1,777","3,051","3,436","3,328","3,952","3,747","1,665",793,90,1,44.5
서울특별시 중랑구 상봉제2동(1126059000),"20,247",743,669,"4,078","4,710","2,477","2,914","2,644","1,341",577,87,7,43.5
서울특별시 중랑구 중화제1동(1126060000),"18,987",983,"1,193","2,391","3,083","2,623","2,983","3,266","1,723",679,61,2,46.1
서울특별시 중랑구 중화제2동(1126061000),"24,255",907,"1,014","3,383","3,634","3,121","4,404","4,448","2,173","1,073",97,1,48.0
서울특별시 중랑구 묵제1동(1126062000),"33,929","1,822","2,972","4,810","4,543","5,278","5,500","4,930","2,739","1,204",129,2,44.5
서울특별시 중랑구 묵제2동(1126063000),"18,355",837,"1,075","2,490","2,716","2,664","3,101","3,042","1,648",713,66,3,46.6
서울특별시 중랑구 망우본동(1126065500),"35,607","2,448","2,101","4,569","5,806","4,924","5,555","5,853","2,859","1,303",182,7,45.2
서울특별시 중랑구 망우제3동(1126066000),"15,847",593,910,"2,096","1,935","2,007","3,054","2,968","1,519",651,113,1,48.4
서울특별시 중랑구 신내1동(1126068000),"38,326","2,464","3,917","4,350","4,659","5,805","6,206","6,147","3,085","1,471",215,7,44.8
서울특별시 중랑구 신내2동(1126069000),"19,870","1,025","1,537","2,155","2,704","2,895","3,349","3,420","1,797",863,117,8,46.9
서울특별시 성북구 (1129000000),"429,689","25,173","36,169","65,460","56,879","64,989","70,536","58,005","33,203","17,046","2,172",57,44.2
