행정구역,총인구수,0~9세,10~19세,20~29세,30~39세,40~49세,50~59세,60~69세,70~79세,80~89세,90~99세,100세 이상,평균연령,출생인구,70대 이상
서울특별시  (1100000000),9418885,530837,744507,1379056,1425785,1435754,1490647,1311328,723982,331600,43937,1452,44.2,3520,1100971
서울특별시 종로구 (1111000000),140601,6125,10069,21929,19345,19563,24007,20542,11443,6609,935,34,45.8,28,19021
서울특별시 종로구 청운효자동(1111051500),11517,629,1116,1411,1550,1965,1899,1399,915,552,78,3,44.7,2,1548
서울특별시 종로구 사직동(1111053000),9104,494,665,1078,1439,1410,1494,1240,692,502,86,4,46.0,0,1284
서울특별시 종로구 삼청동(1111054000),2291,82,169,264,294,320,350,393,241,150,26,2,49.0,1,419
서울특별시 종로구 부암동(1111055000),9133,397,854,1133,1150,1394,1643,1332,737,418,71,4,46.1,1,1230
서울특별시 종로구 평창동(1111056000),17464,1028,1521,2119,2073,2518,3151,2736,1362,811,136,9,45.9,6,2318
서울특별시 종로구 무악동(1111057000),8000,555,937,849,845,1293,1419,1093,590,371,45,3,44.3,3,1009
서울특별시 종로구 교남동(1111058000),9759,742,815,1106,1469,1691,1648,1180,689,376,43,0,43.6,5,1108
서울특별시 종로구 가회동(1111060000),3926,161,308,427,518,635,689,568,379,208,33,0,47.4,2,620
서울특별시 종로구 종로1.2.3.4가동(1111061500),6722,156,209,967,959,850,1124,1331,707,371,46,2,50.1,0,1126
서울특별시 종로구 종로5.6가동(1111063000),5426,153,213,1210,875,570,874,786,475,238,32,0,45.8,0,745
서울특별시 종로구 이화동(1111064000),7031,190,329,1542,1225,835,1023,923,583,335,46,0,45.1,1,964
서울특별시 종로구 혜화동(1111065000),16080,538,1294,4358,1980,1984,2311,1690,1088,726,105,6,42.2,5,1925
서울특별시 종로구 창신제1동(1111067000),4611,108,185,566,605,503,881,1013,468,259,23,0,50.9,1,750
서울특별시 종로구 창신제2동(1111068000),7598,171,348,1004,883,842,1693,1444,783,384,46,0,50.3,0,1213
서울특별시 종로구 창신제3동(1111069000),6417,317,436,846,910,823,1170,1083,502,285,45,0,46.5,1,832
서울특별시 종로구 숭인제1동(1111070000),5768,200,350,705,805,828,1085,966,514,274,40,1,48.0,0,829
서울특별시 종로구 숭인제2동(1111071000),9754,204,320,2344,1765,1102,1553,1365,718,349,34,0,44.7,0,1101
서울특별시 중구 (1114000000),121346,5855,6293,17674,20375,16898,19249,18268,10366,5483,857,28,46.1,50,16734
서울특별시 중구 소공동(1114052000),2215,152,132,240,480,502,321,234,102,44,8,0,41.9,1,154
서울특별시 중구 회현동(1114054000),4470,170,205,440,531,567,780,969,514,244,48,2,51.1,1,808
서울특별시 중구 명동(1114055000),2698,67,133,332,367,379,455,496,281,159,29,0,50.0,1,469
서울특별시 중구 필동(1114057000),3958,154,192,732,677,457,571,609,313,208,44,1,46.0,1,566
서울특별시 중구 장충동(1114058000),4591,137,295,1259,653,515,595,544,351,210,32,0,43.0,1,593
서울특별시 중구 광희동(1114059000),5675,116,194,1200,1156,674,750,842,500,213,30,0,45.5,1,743
서울특별시 중구 을지로동(1114060500),2515,120,65,324,638,355,334,383,201,86,9,0,45.4,1,296
서울특별시 중구 신당동(1114061500),7512,246,248,1308,1325,1010,1232,1135,647,307,53,1,46.6,3,1008
서울특별시 중구 다산동(1114062500),13410,464,695,2151,2196,1765,2184,2034,1189,645,84,3,46.7,3,1921
서울특별시 중구 약수동(1114063500),16303,869,911,1825,2266,2292,2640,2736,1650,948,161,5,48.3,9,2764
서울특별시 중구 청구동(1114064500),13110,652,770,1675,2132,1710,2144,2084,1152,692,96,3,46.9,3,1943
서울특별시 중구 신당제5동(1114065000),10130,497,493,1527,1718,1424,1779,1417,820,396,56,3,45.7,6,1275
서울특별시 중구 동화동(1114066500),9984,587,783,1174,1287,1391,1847,1575,800,468,71,1,46.1,3,1340
서울특별시 중구 황학동(1114067000),12818,676,472,2251,2899,1850,1752,1575,894,384,63,2,43.3,8,1343
서울특별시 중구 중림동(1114068000),11957,948,705,1236,2050,2007,1865,1635,952,479,73,7,44.7,8,1511
서울특별시 용산구 (1117000000),217438,11567,14111,31150,38010,32096,35009,29529,15597,8938,1379,52,44.7,69,25966
서울특별시 용산구 후암동(1117051000),16172,754,1108,2256,2788,2359,2632,2270,1236,661,99,9,45.2,6,2005
서울특별시 용산구 용산2가동(1117052000),9006,267,439,1377,1629,1239,1270,1360,872,476,77,0,47.3,2,1425
