광역시도,행정구역,shortName,신혼수_21,신혼증감_21,신혼증감률_21
서울특별시,종로구,종로,1851,-238,-11.4
서울특별시,중구,중구,2421,-277,-10.3
서울특별시,용산구,용산,4622,-140,-2.9
서울특별시,성동구,성동,6754,-876,-11.5
서울특별시,광진구,광진,5806,-751,-11.5
서울특별시,동대문구,동대문,5839,-476,-7.5
서울특별시,중랑구,중랑,7444,-316,-4.1
서울특별시,성북구,성북,7371,-559,-7.0
서울특별시,강북구,강북,3800,-474,-11.1
서울특별시,도봉구,도봉,4340,-488,-10.1
서울특별시,노원구,노원,8524,-402,-4.5
서울특별시,은평구,은평,8497,-833,-8.9
서울특별시,서대문구,서대문,5294,-751,-12.4
서울특별시,마포구,마포,7505,-854,-10.2
서울특별시,양천구,양천,6498,-706,-9.8
서울특별시,강서구,강서,12055,-1361,-10.1
서울특별시,구로구,구로,8548,-924,-9.8
서울특별시,금천구,금천,4043,-182,-4.3
서울특별시,영등포구,영등포,9412,-547,-5.5
서울특별시,동작구,동작,7032,-737,-9.5
서울특별시,관악구,관악,7389,-1094,-12.9
서울특별시,서초구,서초,6930,-765,-9.9
서울특별시,강남구,강남,7206,-838,-10.4
서울특별시,송파구,송파,13184,-1481,-10.1
서울특별시,강동구,강동,10493,132,1.3
부산광역시,중구,중구,346,9,2.7
부산광역시,서구,서구,1148,-100,-8.0
부산광역시,동구,동구,1345,-64,-4.5
부산광역시,영도구,영도,993,-3,-0.3
부산광역시,부산진구,부산진,5709,-174,-3.0
부산광역시,동래구,동래,4006,-516,-11.4
부산광역시,남구,남구,3135,-448,-12.5
부산광역시,북구,북구,4521,-72,-1.6
부산광역시,해운대구,해운대,5505,-258,-4.5
부산광역시,사하구,사하,4259,-438,-9.3
부산광역시,금정구,금정,2576,-249,-8.8
부산광역시,강서구,강서,4353,-362,-7.7
부산광역시,연제구,연제,3478,-559,-13.8
부산광역시,수영구,수영,2720,-308,-10.2
부산광역시,사상구,사상,2673,-285,-9.6
부산광역시,기장군,기장,3458,-330,-8.7
대구광역시,중구,중구,1306,-130,-9.1
대구광역시,동구,동구,5969,-403,-6.3
대구광역시,서구,서구,1347,-222,-14.1
대구광역시,남구,남구,1699,-109,-6.0
대구광역시,북구,북구,7334,-863,-10.5
대구광역시,수성구,수성,4473,-312,-6.5
대구광역시,달서구,달서,7720,-1053,-12.0
대구광역시,달성군,달성,6961,-824,-10.6
인천광역시,중구,중구,2931,-65,-2.2
인천광역시,동구,동구,732,27,3.8
인천광역시,연수구,연수,7898,-588,-6.9
인천광역시,남동구,남동,8017,-1039,-11.5
인천광역시,부평구,부평,7860,-557,-6.6
인천광역시,계양구,계양,4071,-134,-3.2
인천광역시,서구,서구,10750,-487,-4.3
인천광역시,미추홀구,미추홀,6541,-71,-1.1
인천광역시,강화군,강화,577,-24,-4.0
인천광역시,옹진군,옹진,251,-14,-5.3
광주광역시,동구,동구,1976,18,0.9
광주광역시,서구,서구,4073,-501,-11.0
광주광역시,남구,남구,3062,-158,-4.9
광주광역시,북구,북구,7444,-357,-4.6
광주광역시,광산구,광산,7369,-559,-7.1
대전광역시,동구,동구,3117,40,1.3
대전광역시,중구,중구,2907,-282,-8.8
대전광역시,서구,서구,8253,-658,-7.4
대전광역시,유성구,유성,7803,-876,-10.1
대전광역시,대덕구,대덕,2322,23,1.0
울산광역시,중구,중구,2905,-479,-14.2
울산광역시,남구,남구,5435,-533,-8.9
울산광역시,동구,동구,2361,-542,-18.7
울산광역시,북구,북구,5320,-666,-11.1
울산광역시,울주군,울주,3443,-307,-8.2
세종특별자치시,세종시,세종,10029,-639,-6.0
경기도,수원시,수원,23385,-1396,-5.6
경기도,장안구,장안,3917,18,0.5
경기도,권선구,권선,7403,-830,-10.1
경기도,팔달구,팔달,3188,499,18.6
경기도,영통구,영통,8878,-1083,-10.9
경기도,성남시,성남,17184,-1056,-5.8
경기도,수정구,수정,4525,-371,-7.6
경기도,중원구,중원,3664,-94,-2.5
경기도,분당구,분당,8996,-591,-6.2
경기도,의정부시,의정부,8155,-228,-2.7
경기도,안양시,안양,10493,-382,-3.5
경기도,만안구,만안,4452,-68,-1.5
경기도,동안구,동안,6042,-313,-4.9
경기도,부천시,부천,13850,-1224,-8.1
경기도,광명시,광명,5441,-478,-8.1
경기도,평택시,평택,12743,645,5.3
경기도,동두천시,동두천,1173,-75,-6.0
경기도,안산시,안산,10257,-476,-4.4
경기도,상록구,상록,4898,-242,-4.7
경기도,단원구,단원,5359,-235,-4.2
경기도,고양시,고양,19308,-868,-4.3
경기도,덕양구,덕양,10332,-208,-2.0
경기도,일산동구,일산동,4319,-235,-5.2
경기도,일산서구,일산서,4657,-426,-8.4
경기도,과천시,과천,1517,252,19.9
경기도,구리시,구리,3302,-257,-7.2
경기도,남양주시,남양주,12208,40,0.3
경기도,오산시,오산,4671,-630,-11.9
경기도,시흥시,시흥,11189,-363,-3.1
경기도,군포시,군포,5195,-452,-8.0
경기도,의왕시,의왕,3201,-176,-5.2
경기도,하남시,하남,7821,500,6.8
경기도,용인시,용인,19876,-2064,-9.4
경기도,처인구,처인,4341,-362,-7.7
경기도,기흥구,기흥,8196,-873,-9.6
경기도,수지구,수지,7339,-830,-10.2
경기도,파주시,파주,9655,-256,-2.6
경기도,이천시,이천,4167,-44,-1.0
경기도,안성시,안성,2872,-82,-2.8
경기도,김포시,김포,11330,-404,-3.4
경기도,화성시,화성,22775,-1717,-7.0
경기도,광주시,광주,7761,-952,-10.9
경기도,양주시,양주,3957,-250,-5.9
경기도,포천시,포천,1754,-83,-4.5
경기도,여주시,여주,1344,-100,-6.9
경기도,연천군,연천,569,-75,-11.6
경기도,가평군,가평,640,-66,-9.3
경기도,양평군,양평,1187,-98,-7.6
강원도,춘천시,춘천,4851,-179,-3.6
강원도,원주시,원주,6411,-218,-3.3
강원도,강릉시,강릉,3079,-103,-3.2
강원도,동해시,동해,1257,-68,-5.1
강원도,태백시,태백,394,-70,-15.1
강원도,속초시,속초,1251,-120,-8.8
강원도,삼척시,삼척,770,-117,-13.2
강원도,홍천군,홍천,751,-66,-8.1
강원도,횡성군,횡성,370,-36,-8.9
강원도,영월군,영월,307,-35,-10.2
강원도,평창군,평창,329,-53,-13.9
강원도,정선군,정선,313,-39,-11.1
강원도,철원군,철원,819,-69,-7.8
강원도,화천군,화천,495,-74,-13.0
강원도,양구군,양구,445,-50,-10.1
강원도,인제군,인제,670,-15,-2.2
강원도,고성군,고성,257,-4,-1.5
강원도,양양군,양양,281,-16,-5.4
충청북도,충주시,충주,3061,-217,-6.6
충청북도,제천시,제천,1579,-212,-11.8
충청북도,청주시,청주,16093,-865,-5.1
충청북도,상당구,상당,3310,106,3.3
충청북도,서원구,서원,2675,-210,-7.3
충청북도,흥덕구,흥덕,5725,-382,-6.3
충청북도,청원구,청원,4383,-380,-8.0
충청북도,보은군,보은,211,-38,-15.3
충청북도,옥천군,옥천,372,-21,-5.3
충청북도,영동군,영동,342,-86,-20.1
충청북도,진천군,진천,1642,-127,-7.2
충청북도,괴산군,괴산,228,-49,-17.7
충청북도,음성군,음성,963,-191,-16.6
충청북도,단양군,단양,192,-26,-11.9
충청북도,증평군,증평,618,-78,-11.2
충청남도,천안시,천안,14149,-1584,-10.1
충청남도,동남구,동남,4044,-527,-11.5
충청남도,서북구,서북,10106,-1056,-9.5
충청남도,공주시,공주,988,-70,-6.6
충청남도,보령시,보령,1055,-119,-10.1
충청남도,아산시,아산,6208,-217,-3.4
충청남도,서산시,서산,3206,-302,-8.6
충청남도,논산시,논산,1183,-168,-12.4
충청남도,계룡시,계룡,499,-16,-3.1
충청남도,당진시,당진,2902,-341,-10.5
충청남도,금산군,금산,320,-62,-16.2
충청남도,부여군,부여,364,-64,-15.0
충청남도,서천군,서천,318,-45,-12.4
충청남도,청양군,청양,192,-9,-4.5
충청남도,홍성군,홍성,1434,-188,-11.6
충청남도,예산군,예산,640,-75,-10.5
충청남도,태안군,태안,550,-51,-8.5
전라북도,전주시,전주,10711,-649,-5.7
전라북도,완산구,완산,4662,-448,-8.8
전라북도,덕진구,덕진,6050,-200,-3.2
전라북도,군산시,군산,3520,-337,-8.7
전라북도,익산시,익산,3045,-335,-9.9
전라북도,정읍시,정읍,947,-107,-10.2
전라북도,남원시,남원,774,-110,-12.4
전라북도,김제시,김제,655,-29,-4.2
전라북도,완주군,완주,1083,-67,-5.8
전라북도,진안군,진안,218,-44,-16.8
전라북도,무주군,무주,212,-8,-3.6
전라북도,장수군,장수,177,-34,-16.1
전라북도,임실군,임실,268,-21,-7.3
전라북도,순창군,순창,222,-72,-24.5
전라북도,고창군,고창,432,-47,-9.8
전라북도,부안군,부안,404,-55,-12.0
전라남도,목포시,목포,2626,-382,-12.7
전라남도,여수시,여수,3882,-423,-9.8
전라남도,순천시,순천,4675,-245,-5.0
전라남도,나주시,나주,2312,-67,-2.8
전라남도,광양시,광양,2504,-183,-6.8
전라남도,담양군,담양,431,-5,-1.1
전라남도,곡성군,곡성,157,-29,-15.6
전라남도,구례군,구례,155,-28,-15.3
전라남도,고흥군,고흥,438,-70,-13.8
전라남도,보성군,보성,237,-34,-12.5
전라남도,화순군,화순,557,-13,-2.3
전라남도,장흥군,장흥,338,-35,-9.4
전라남도,강진군,강진,267,-41,-13.3
전라남도,해남군,해남,653,-135,-17.1
전라남도,영암군,영암,486,-133,-21.5
전라남도,무안군,무안,1591,222,16.2
전라남도,함평군,함평,178,-47,-20.9
전라남도,영광군,영광,744,-99,-11.7
전라남도,장성군,장성,418,-73,-14.9
