행정구역,총인구,출생,평균연령,9세이하,10대,20대,30대,40대,50대,60대,70대이상
서울특별시  (1100000000),9418885,3520,44.2,530837,744507,1379056,1425785,1435754,1490647,1311328,1100971
서울특별시 종로구 (1111000000),140601,28,45.8,6125,10069,21929,19345,19563,24007,20542,19021
서울특별시 종로구 청운효자동(1111051500),11517,2,44.7,629,1116,1411,1550,1965,1899,1399,1548
서울특별시 종로구 사직동(1111053000),9104,0,46.0,494,665,1078,1439,1410,1494,1240,1284
서울특별시 종로구 삼청동(1111054000),2291,1,49.0,82,169,264,294,320,350,393,419
서울특별시 종로구 부암동(1111055000),9133,1,46.1,397,854,1133,1150,1394,1643,1332,1230
서울특별시 종로구 평창동(1111056000),17464,6,45.9,1028,1521,2119,2073,2518,3151,2736,2318
서울특별시 종로구 무악동(1111057000),8000,3,44.3,555,937,849,845,1293,1419,1093,1009
서울특별시 종로구 교남동(1111058000),9759,5,43.6,742,815,1106,1469,1691,1648,1180,1108
서울특별시 종로구 가회동(1111060000),3926,2,47.4,161,308,427,518,635,689,568,620
서울특별시 종로구 종로1.2.3.4가동(1111061500),6722,0,50.1,156,209,967,959,850,1124,1331,1126
서울특별시 종로구 종로5.6가동(1111063000),5426,0,45.8,153,213,1210,875,570,874,786,745
서울특별시 종로구 이화동(1111064000),7031,1,45.1,190,329,1542,1225,835,1023,923,964
서울특별시 종로구 혜화동(1111065000),16080,5,42.2,538,1294,4358,1980,1984,2311,1690,1925
서울특별시 종로구 창신제1동(1111067000),4611,1,50.9,108,185,566,605,503,881,1013,750
서울특별시 종로구 창신제2동(1111068000),7598,0,50.3,171,348,1004,883,842,1693,1444,1213
서울특별시 종로구 창신제3동(1111069000),6417,1,46.5,317,436,846,910,823,1170,1083,832
서울특별시 종로구 숭인제1동(1111070000),5768,0,48.0,200,350,705,805,828,1085,966,829
서울특별시 종로구 숭인제2동(1111071000),9754,0,44.7,204,320,2344,1765,1102,1553,1365,1101
서울특별시 중구 (1114000000),121346,50,46.1,5855,6293,17674,20375,16898,19249,18268,16734
서울특별시 중구 소공동(1114052000),2215,1,41.9,152,132,240,480,502,321,234,154
서울특별시 중구 회현동(1114054000),4470,1,51.1,170,205,440,531,567,780,969,808
서울특별시 중구 명동(1114055000),2698,1,50.0,67,133,332,367,379,455,496,469
서울특별시 중구 필동(1114057000),3958,1,46.0,154,192,732,677,457,571,609,566
서울특별시 중구 장충동(1114058000),4591,1,43.0,137,295,1259,653,515,595,544,593
서울특별시 중구 광희동(1114059000),5675,1,45.5,116,194,1200,1156,674,750,842,743
서울특별시 중구 을지로동(1114060500),2515,1,45.4,120,65,324,638,355,334,383,296
서울특별시 중구 신당동(1114061500),7512,3,46.6,246,248,1308,1325,1010,1232,1135,1008
서울특별시 중구 다산동(1114062500),13410,3,46.7,464,695,2151,2196,1765,2184,2034,1921
서울특별시 중구 약수동(1114063500),16303,9,48.3,869,911,1825,2266,2292,2640,2736,2764
서울특별시 중구 청구동(1114064500),13110,3,46.9,652,770,1675,2132,1710,2144,2084,1943
서울특별시 중구 신당제5동(1114065000),10130,6,45.7,497,493,1527,1718,1424,1779,1417,1275
서울특별시 중구 동화동(1114066500),9984,3,46.1,587,783,1174,1287,1391,1847,1575,1340
서울특별시 중구 황학동(1114067000),12818,8,43.3,676,472,2251,2899,1850,1752,1575,1343
서울특별시 중구 중림동(1114068000),11957,8,44.7,948,705,1236,2050,2007,1865,1635,1511
서울특별시 용산구 (1117000000),217438,69,44.7,11567,14111,31150,38010,32096,35009,29529,25966
서울특별시 용산구 후암동(1117051000),16172,6,45.2,754,1108,2256,2788,2359,2632,2270,2005
서울특별시 용산구 용산2가동(1117052000),9006,2,47.3,267,439,1377,1629,1239,1270,1360,1425
서울특별시 용산구 남영동(1117053000),6989,1,50.2,134,232,821,1032,884,1509,1428,949
서울특별시 용산구 청파동(1117055500),19070,3,44.1,527,1022,4107,3371,2398,2997,2471,2177
서울특별시 용산구 원효로제1동(1117056000),17139,11,40.7,1147,966,2892,4143,2681,2223,1801,1286
서울특별시 용산구 원효로제2동(1117057000),13690,2,44.2,775,1035,1930,2223,2036,2221,1878,1592
서울특별시 용산구 효창동(1117058000),10769,3,42.5,797,697,1616,1992,1632,1728,1214,1093
서울특별시 용산구 용문동(1117059000),11464,5,45.3,621,662,1653,1948,1576,1868,1620,1516
서울특별시 용산구 한강로동(1117062500),21135,15,43.1,1239,995,3249,4901,2853,3248,2641,2009
서울특별시 용산구 이촌제1동(1117063000),25015,10,43.3,2220,2686,2557,2952,4203,4393,2996,3008
